brand,judul,collabs,jenis_konten,hashtags,jumlah_like,date
adidas,The new  5 is giving 🌟higher energy🌟 in every run... 🏃🏻👟💨  🔗 OUT NOW!! Dapatkan segera di adidas.co.id dan mitra retail adidas Indonesia terdekat.,,video,#ultraboost,"1,004 likes",2024-07-18
adidas,"Butuh ultra high energy untuk larimu? WE GOT YOU 🫵🏻⚡️   5, coming 🔜 18.07.2024",,video,#ultraboost,"3,441 likes",2024-07-11
adidas,Throwback to the day Brazilian Soccer School and Tiktak Football First visit to adidas UEFA EURO 2024™️ Exhibition. Hari itu semakin seru dengan kunjungan atlet nasional @shalika.aurelia dan @ferarrimuhammad.  Semoga momen ini bisa menjadi pengalaman baik bagi para calon atlet masa depan sepakbola Indonesia. You got this!🙌🏻⚽,"@shalika, @ferarrimuhammad",video,,"1,391 likes",2024-07-02
adidas,"Kalau kamu masih bingung memilih sepatu Adizero yang pas untuk kebutuhan larimu, check out this guide for finding your fast with the  collection! 💨  Sepatu mana yang paling cocok untukmu saat ini? 💬👟",,video,#Adizero,"2,297 likes",2024-07-01
adidas,We are halfway through ! Yuk rewind ke acara adidas UEFA EURO 2024™ Exhibition Press Conference & Kick-Off minggu lalu. 🎉  Apakah kamu sudah mengunjungi exhibition kami di Pondok Indah Mall 3?,,video,#EURO24,"1,639 likes",2024-06-25
adidas,@aghninyhaque ate and left no crumbs with her  💯💯💯🤩,@aghninyhaque,image,#adidasSamba,"42,391 likes",2024-06-19
adidas,"Come and celebrate EURO at adidas’ UEFA EURO 2024™️ Experience! Nikmati EURO pack exhibition, AR experience dan football skill challenge berhadiah merchandise adidas.  📍 Atrium Pondok Indah Mall 3 🗓️ 12 - 30 Juni 2024  See you there! 👋🏻",,video,,"4,596 likes",2024-06-13
adidas,A fresh take on the classic  – styled by @andreadianbimo. 😍,@andreadianbimo,image,#adidasGazelle,"11,230 likes",2024-06-09
adidas,Less is more – and @tarrabudiman nails it with the  🤩,@tarrabudiman,image,#adidasSpezial,"1,884 likes",2024-06-05
adidas,@reginapoetiray is giving ✨clean girl vibes✨ in these,@reginapoetiray,image,#adidasSamba,"1,637 likes",2024-06-04
adidas,"Terima kasih kepada 39.500 partisipan Indonesia yang telah bergerak bersama selama 12 hari, dan mengumpulkan 2.030.933 menit dalam challenge ! 🌏  Berapa menit yang sudah kamu kumpulkan? Share di kolom komentar 🤳🏻",,video,#MoveForThePlanet,"1,233 likes",2024-05-31
adidas,"MENYALA INDONESIAKU 🔥🔥🔥 Berbagai profesi, berbagai olahraga, yang penting semua dukung Indonesia! 🙌🏻  Show your pride with style (and comfortably) with adidas Indonesia Graphic Tee! Dapatkan sekarang di adidas.co.id dan mitra retail adidas Indonesia terdekat. 🇮🇩",,video,,"1,334 likes",2024-05-27
adidas,"One more mile. One more move.  Hari ini adalah HARI TERAKHIR untuk join ! Catat gerakan kamu di adidas Running app, karena setiap 10 menit gerakan yang tercatat, adidas mendonasikan €1 untuk melindungi fasilitas olahraga dari perubahan cuaca ekstrim. Daftar melalui link di bio! 🌍🔗",,video,#MoveForThePlanet,862 likes,2024-05-22
adidas,"3 iconic silhouettes, 1000 stories. 🌟  Throwing it back to an epic night of fashion, music, dance, and laughter as we celebrated the   and  at our unforgettable Block Party. 🪩🎉",,video,#adidasSamba #adidasGazelle #adidasSpezial,"2,030 likes",2024-05-21
adidas,"One more mile 🏃🏻‍♂️🏃🏻‍♀️💨  Bersama adidas Runners Jakarta,  activity week resmi dimulai di acara Sunday Morning Miles.  Masih ada waktu hingga 22 Mei untuk kamu ikut Move For The Planet! adidas akan menyumbangkan €1 setiap 10 menit kamu bergerak. Daftar sekarang melalui link di bio! 🌏🔗",,video,#MoveForThePlanet,979 likes,2024-05-20
adidas,Obsessed with @jourdypranata’s Y2K vibes in those adidas  kicks? 🕶️👟  Cop yours now through adidas.co.id and our retail partners ✨,@jourdypranata,image,#2000sRunning,"3,267 likes",2024-05-16
adidas,"Who’s ready to support women in style? 🙋🏻‍♀️✨  Dengan material Better Cotton, Indonesia Women’s Tee dari adidas Indonesia dan @dindaps ini siap menemani perempuan Indonesia beraktivitas dengan nyaman seharian.  Dapatkan punyamu hanya di adidas.co.id dan mitra retail adidas Indonesia!",@dindaps,image,,"1,124 likes",2024-05-14
adidas,"Let’s do one more move!  Bersama , 10 menit gerakanmu yang tercatat di adidas Running app akan dikonversikan menjadi €1 donasi oleh adidas untuk mendukung pendidikan tentang keberlanjutan dan meningkatkan fasilitas olahraga agar lebih tahan terhadap cuaca ekstrem.  Mari bergerak sekali lagi, untuk planet kita. 10-22 Mei 2024. Join melalui link di bio! 🔗",,video,#MoveForThePlanet,"6,408 likes",2024-05-10
adidas,"One block, three footwear icons, a thousand ways styled by you. Here’s some of our favorite looks from the past Originals Block Party. 🕶️🌟",,video,,"1,334 likes",2024-05-08
adidas,"All it takes is one more move.  Dari setiap 10 menit bergerak yang terekam di aplikasi adidas Running pada tanggal 10-22 Mei, adidas akan menyumbangkan €1 - sampai dengan €1.5 juta, untuk merawat dan memberikan pendidikan guna menjaga fasilitas olahraga di seluruh dunia agar tetap lestari di tengah gempuran perubahan cuaca ekstrem.  Let’s Move For The Planet! Daftarkan diri kamu sekarang melalui link di bio. 💪🏻🌏",,video,,809 likes,2024-05-07
adidas,"3 atlet, 3 cabang olahraga, 3 kisah inspiratif. 🏀⚽️🤸🏻‍♀️  Yudha Saputera, Ramadhan Sananta, dan Rifda Irfanaluthfi saling berbagi kisah, pengalaman dan perjuangan sebagai atlet nasional perwakilan Tanah Air di berbagai pertandingan mancanegara.  Jangan lewatkan kisah mereka di video kolaborasi adidas Indonesia x @maknatalks “The Legacy: Pertiwi di Panggung Dunia”. Segera tayang di YouTube Makna Talks, tanggal 10 Mei 2024.",@maknatalks,video,,"2,641 likes",2024-05-06
adidas,"Kita mungkin berbeda, tapi satu hal yang pasti: kecintaan kita terhadap tanah air Indonesia. Yuk, sambut semangat persatuan dalam perbedaan dengan koleksi adidas Indonesia Tee! 🇮🇩✨  Dapatkan koleksi ini di adidas.co.id dan mitra retail adidas Indonesia. Let’s celebrate unity in diversity! 🥳",,image,,"2,641 likes",2024-05-06
brand,judul,,jenis_konten,hashtags,jumlah_like,date
adidas,"Perfection is the bare minimum.  Setiap gerakan adalah kisah kekuatan dan keanggunan. Sebagai atlet Senam Artistik, tuntutan untuk menampilkan performa sempurna sudah menjadi suatu rutin bagi Rifda Irfanaluthfi.  Tonton kisah Rifda di “The Legacy: Pertiwi di Panggung Dunia” — segera hadir di Youtube Makna Talks.",,video,#YouGotThis,"5,014 likes",2024-04-26
adidas,"A champion of today, a legend of tomorrow.  Meraih medali emas SEA Games di usia muda membuat Yudha Saputera kenal betul dengan tekanan untuk selalu menjadi pemenang. Tak hanya mempersembahkan performa terbaiknya dalam setiap pertandingan, Yudha juga mewakili semangat pantang menyerah.  Tonton kisah Yudha di “The Legacy: Pertiwi di Panggung Dunia” — segera hadir di Youtube Makna Talks.",,video,#YouGotThis,"3,068 likes",2024-04-25
adidas,"To walk the path to victory, one must first overcome their pressure.  Tekanan bukan hal asing bagi Ramadhan Sananta. Dihadapkan dengan tuntutan untuk selalu memenangkan pertandingan, setiap langkahnya membawa semangat dan mental juara ke lapangan hijau. 🏟️⚽️  Tonton kisah Sananta di “The Legacy: Pertiwi di Panggung Dunia” — segera hadir di Youtube Makna Talks.",,video,#YouGotThis,"53,461 likes",2024-04-24
adidas,"Presenting Indonesia Women’s Tee in Collaboration with @dindaps! 🇮🇩  Hadir untuk merayakan para perempuan Indonesia serta keberagaman, semangat dan kekuatannya yang membawa perubahan, koleksi ini siap menemani kamu dalam berbagai aktivitas. ✨  Yuk dapatkan koleksi ini di adidas.co.id dan mitra retail adidas Indonesia. 🙆🏻‍♀️✊",@dindaps,video,,"1,429 likes",2024-04-21
adidas,"Throwback to all the sweat and smiles bersama @andreadianbimo dan @_febrian di Strength Club @ Living World Denpasar, Bali! 💪🏻🌊  Terima kasih kepada para partisipan dan komunitas yang ikut mengalahkan gymtimidation. You got this!","@andreadianbimo, @_febrian",video,#adidasStrength,612 likes,2024-04-17
adidas,3 things bersama @rifda_irfanaluthfi.,@rifda_irfanaluthfi,video,#YouGotThis,"3,705 likes",2024-04-16
adidas,"Upgrade your adventure bersama Terrex Free Hiker 2.0!  Dilengkapi midsole BOOST, outsole Continental dan GORE-TEX agar lebih nyaman dan lebih ringan, sehingga kamu dapat lebih jauh menjelajahi alam.",,image,,"1,700 likes",2024-04-14
adidas,"Temukan kebebasan berlari dengan nyaman bersama Supernova Rise 👟☁️  Dirancang dengan super foam Dreamstrike+, sepatu ini cocok untuk para daily runners yang mencari kenyamanan dalam lari harianmu.",,image,#adidasSupernova,"1,208 likes",2024-04-08
adidas,Embrace the Bali vibes! Koleksi spesial adidas Bali tee ini terinspirasi dari keindahan pantai di pulau Dewata. 🌊🏝️  Have you copped yours?,,image,,"9,606 likes",2024-03-31
adidas,"Throwback to the positive vibes at Strength Club event in Jakarta bulan lalu, dimana para partisipan bersama-sama dengan adidas Creators conquering gymtimidation!  Gimana cerita kamu menghadapi gymtimidation? Let’s talk about it in the comment section! 👇🏻💬",,video,,641 likes,2024-03-26
adidas,"Ease your run, ease your mind - masuki dunia baru berlari dengan nyaman bersama Supernova Rise. ☁️😎",,image,#adidasSupernova,"1,796 likes",2024-03-22
adidas,Raya vibes only! 🎉 🙌  Elevate your Eid outfit game with adidas’ fresh drops. Cop yours at adidas.co.id and all adidas retail spots in Indo!,,image,,"1,472 likes",2024-03-21
adidas,"Butuh rekomendasi upper body workout routine? We got you!  3 gerakan ini bisa menargetkan otot lengan, bahu dan punggung kamu dalam satu sesi workout. Cocok untuk kamu yang butuh routine yang ringkas dan efektif. Let’s make every rep count! 💪",,video,#YouGotThis #adidasTraining,"1,087 likes",2024-03-14
adidas,"Melangkah lebih jauh bersama Terrex Free Hiker 2.0 ⛰️  Dilengkapi dengan midsole BOOST untuk meningkatkan kenyamanan, dan outsole Continental untuk grip yang lebih stabil pada permukaan basah atau tidak rata.  Dapatkan sekarang di adidas.co.id dan mitra retail adidas Indonesia.",,video,,564 likes,2024-03-08
adidas,Mempersembahkan adidas Bali collection.  Siluet sepatu klasik adidas Bali kini hadir kembali dan dipadukan dengan t-shirt spesial edisi Bali. Keduanya terinspirasi oleh keindahan abadi pulau Dewata.  Dapatkan sekarang di adidas.co.id dan mitra retail adidas Indonesia.,,image,#adidasIndonesia #adidasBali #YouGotThis,"38,286 likes",2024-03-08
adidas,Delivering captivating performances and defying pressure with the AE1s. These three icons are ready to take over the court. ⛹🏻🏀,,image,,"16,427 likes",2024-03-07
adidas,Step back into the 2000s!  Jelajahi dunia Y2K dengan sepatu bersiluet klasik yang diperbarui dengan sentuhan modern.  👟 2000s Running – tersedia di adidas.co.id dan mitra retail adidas Indonesia.,,image,#2000sRunningCollection,"1,117 likes",2024-03-06
adidas,Deburan ombak dan keindahan laut Bali digambarkan dalam koleksi terbaru dari adidas Originals.  adidas Bali tee & footwear – launch date 8 March 2024 at www.adidas.co.id & selected adidas retail stores 🏝️,,video,,"35,409 likes",2024-03-05
adidas,"Confidence doesn’t just come from within; it’s supported by what you wear. Our Strength collection provides durability to move freely even on the most challenging training routine.  Gear up, achieve more, Feel Your Strength - available at adidas.co.id and adidas Indonesia retail partners.",,image,#adidasTraining,"1,471 likes",2024-03-03
adidas,Masuki pengalaman baru kenyamanan berlari dengan Supernova Rise... ☁📈  ✅ Dreamstrike+ super foam untuk kenyamanan maksimal ✅ Desain U-throat yang diperbarui untuk menyesuaikan berbagai bentuk kaki ✅ Transisi halus dalam setiap langkah dengan bantuan Support Rods ✅ Reliable traction dengan outsole tahan lama Adiwear ✅ Potongan pada outsole yang mengurangi beban pada kaki  Supercomfort. Supernova 😎,,image,#adidasSupernova,"1,067 likes",2024-03-01
adidas,"Kekuatan tidak selalu tentang fisik.. @andreadianbimo, @tarrabudiman dan @aghninyhaque berbagi pandangan mereka tentang apa arti kekuatan.  Apa arti “Strength” bagimu? Tulis di kolom komentar 👇🏻","@andreadianbimo, @tarrabudiman, @aghninyhaque",video,,"7,786 likes",2024-03-01
adidas,"Ease your run, ease your mind with Supernova Rise.  Superfoam Dreamstrike+ memberikan dukungan maksimal pada kaki. Dilengkapi dengan desain U-Throat yang diperbarui, sepatu ini dapat men-support berbagai bentuk kaki dengan lebih baik.  Dapatkan kenyamanan berlari harianmu, Supernova Rise, di adidas.co.id dan mitra retail adidas Indonesia.",,video,#adidasSupernova,"1,837 likes",Error: day is out of range for month
adidas,"Untamed potential meets unrestricted movement. With the enhanced support of adidas’ Strength collection, you can lift more, squat deeper and move freely.  When distractions disappears, strength emerges. What will you achieve today?  Available at adidas.co.id and adidas Indonesia retail partners.",,image,#FeelYourStrength #adidasTraining,"28,022 likes",2024-02-28
adidas,"Masuki dimensi baru kenyamanan berlari dengan Supernova Rise. 🚀  Dilengkapi dengan midsole Dreamstrike + dan support rods, sepatu ini menghadirkan kenyamanan dan dukungan maksimal. Optimalkan kualitas tiap langkahmu!  Made for everyday runners - Supercomfort. Supernova. 🏃‍♂️✨",,image,,689 likes,2024-02-22
adidas,"Legends only. Old and new- all in one.  Predator-24, tersedia di adidas.co.id dan mitra retail adidas Indonesia.",,image,#GoalsForEveryone,"20,439 likes",2024-02-19
adidas,"Cetak gol yang memukau bersama @spasogol, @figgode, dan @sulthanzky dengan Predator; sepatu legendaris selama 30 tahun yang dirancang untuk menjadikan setiap tendangan tepat sasaran. 🥅 🎯  Dapatkan Predator-24 di adidas.co.id dan mitra retail adidas Indonesia.","@spasogol, @figgode, @sulthanzky",video,#GoalsForEveryone #YouGotThis,"9,375 likes",2024-02-18
adidas,Melangkah ke masa depan dengan gaya! adidas Originals dan BAPE® merayakan 30 tahun streetwear Jepang dengan sentuhan baru pada siluet klasik Stan Smith.  Sepatu ikonis ini tampil dengan cetakan camo yang mencolok khas brand ternama asal Jepang ini. Grab yours now at adidas.co.id dan mitra retail adidas Indonesia tertentu.,,image,,"2,199 likes",2024-02-16
adidas,This is sport on your terms. Welcome back.,,video,#YouGotThis,"1,477 likes",2024-02-12
adidas,"Sambut Tahun Baru Imlek 2024 dengan semangat melalui koleksi LNY adidas, dirangkai khusus untuk awal yang penuh energi baru. 🐉 🧧  Temukan koleksi ini di adidas.co.id dan mitra retail adidas Indonesia.",,image,,598 likes,2024-02-05
adidas,"Introducing you to the captains of AR JAKARTA 2024: Gigih, Clara & Bangun. 🏃🏃‍♀️ Mereka akan berusaha mewujudkan goal mereka tahun ini, sambil menginspirasi kita semua untuk terus meraih performa terbaik!  Dari perjuangan pribadi hingga kemenangan, perjalanan lari mereka menginspirasi kita semua. Berikut perkenalan singkat tentang para captain baru: - Captain Gigih (@oceangigih) pertama kali bergabung dengan AR Jakarta sebagai crew pada tahun 2018 dan telah menaklukkan 8 full marathon. Goal-nya saat ini adalah mengincar Boston Marathon qualifying time, - Captain Clara (@_claramaliasr) mulai berlari pada tahun 2018 dan menantang dirinya sendiri untuk Half Marathon pada tahun 2022. Pada saat ini goal-nya adalah meraih personal best time dalam jarak 5K, 10K, dan Half Marathon. - Co-Captain Bangun (@bangunallo) telah menyelesaikan 12 full marathon dan 2 ultramarathon selama 5 tahun aktif menjadi bagian dari AR Jakarta. Belum lagi ia juga sudah 5 kali memecahkan personal best-nya, yang terakhir pada November 2023.  Swipe to know their motivation and wishes for AR Jakarta this year! 🌟","@oceangigih, @_claramaliasr, @bangunallo",image,#adidasRunners,"1,319 likes",2024-01-27
adidas,"Made from community, to community - cause Every Pace has A Place!  Koleksi pakaian adidas Runners ini dirancang untuk para pelari yang berpengalaman, sedang berlatih untuk mencapai rekor terbaik, atau siap untuk berlari untuk pertama kalinya. Koleksi ini dibuat untuk KAMU! 💥",,image,,857 likes,2024-01-25
adidas,"Strike like never before with the newest Predator, dirancang untuk mencetak gol. 🎯⚽  Dengan teknologi Strikeskin, kamu pun dapat meningkatkan permainanmu dan cetak skor dengan percaya diri!",,video,,"1,682 likes",2024-01-21
adidas,"Lepaskan kekuatan presisi dan kelincahan. Cepat, tajam, dan siap menaklukkan setiap tendangan dengan adidas Marine Rush PREDATOR ACCURACY. ⚽️🏃🏻",,image,,"16,819 likes",2024-01-15
adidas,"Training mode: ON! Langkah demi langkah, kilometer demi kilometer – ikuti @tarrabudiman bersiap untuk Boston Marathon 2024 🏃‍♂️💪",@tarrabudiman,video,,"1,355 likes",2024-01-12
adidas,Feel your strength in every push. Bebas bergerak dengan percaya diri dan fokus - rasakan kekuatanmu dengan koleksi Strength terbaru.  Tersedia di mitra retail adidas Indonesia.,,image,,900 likes,2024-01-04
adidas,Adding a local touch; ini cara @rahmaniaastrini styling adidas Sambae dan Samba Sporty&Rich-nya dipadukan dengan kain batik khas Indonesia.  How would you rate the look?,@rahmaniaastrini,video,,"3,624 likes",2023-12-29
adidas,Outfit switch: Street to sweat edition dengan koleksi sportswear Z.N.E dan performance apparel dari adidas. 🏙️➡️🏋️‍♀️  Look mana yang lebih kamu suka?️,,video,,"1,645 likes",2023-12-27
adidas,"The best shoes for holiday travel should be both classy and comfortable. @satyawinnie sudah mencoba berpetualang dan berjalan sekitar 30K langkah menggunakan adidas NMD W1 selama liburannya di Jepang.  Firm grip, non-slippery, dan yang paling penting - no pain and blisters! Sepatu yang tepat untuk jadi holiday buddy-mu.",@satyawinnie,image,,"1,249 likes",2023-12-22
adidas,"Embrace the positive rivalry with yourself - every challenge you overcome is a victory against your own limitations. Surpass your yesterday, and become the competition you strive to beat 💪🏻🔥  adidas Rivalry - tersedia di adidas.co.id dan mitra retail adidas Indonesia.",,video,,"2,825 likes",2023-12-21
adidas,Holiday fit featuring the OG Samba and the new Sambae. Desain klasik Samba dipadukan dengan outsole karet transparan dan bordir premium 3-stripes.  Siap jadi pusat perhatian?,,image,,"9,236 likes",2023-12-19
adidas,Inspirasi busana kumpul dengan keluarga di akhir tahun: Tampil kasual dengan sepatu Samba yang penuh pesona!,,image,,"4,186 likes",2023-12-18
adidas,Bergaya keren ala retro dengan sentuhan modern- sebuah gaya ikonik dengan kenyamanan maksimal! Kamu pun siap memasuki musim liburan.,,image,,"2,713 likes",2023-12-17
puma,"Play the game, wear the game. Dive into the new  collection.  Available now at PUMA.com and SELECT retailers.",,image,#PUMAxSquidGame #PUMAID,383 likes,2024-12-20
puma,The only way to finish is to start!  Congrats to @marissamedia yang udah berhasil menaklukkan rasa takutnya dan unlock her best bersama PUMA di @planetsportsrun 2024!,"@marissamedia, @planetsportsrun",video,#DEVIATE3 #SEETHERUNLIKEWEDO #UNLOCKYOURBEST #PUMAID,170 likes,2024-12-24
puma,"Your only limit is your mind!  Kudos to @stanley_j,  yang berhasil unlocked his best bersama PUMA di @planetsportsrun 2024!","@stanley_j, @planetsportsrun",video,#PelariKurangDarah #DEVIATE3 #SEETHERUNLIKEWEDO #UNLOCKYOURBEST #PUMAID,200 likes,2024-12-24
puma,You’re never too old to unlock your best.  Cheers to Pak @tommyzazo tetap semangat melangkah hingga garis finish @planetsportsrun 2024 and unlocking his new PR with PUMA!,"@tommyzazo, @planetsportsrun",video,#DEVIATE3 #SEETHERUNLIKEWEDO #UNLOCKYOURBEST #PUMAID,200 likes,2024-12-24
puma,"Holiday season, but make it stylish! 🎄✨  PUMA Friends are serving the looks you need to slay this December.  Swipe left and share your PUMA must-haves in the comments! 👇",,image,#PUMAFriendsID #PUMAID,797 likes,2024-12-24
puma,"Dressed to impress this holiday season! ✨💕  Libur telah tiba PUMA Friends! Udah punya rencana apa buat liburan akhir tahun ini? Biar liburan tetap stylish dan on point, we’ve got all the outfit inspo you need!  Unwrapped your best holiday look with this outfit inspo available at id.PUMA.com.  Sssh, those outfits above are on SALE for up to 50%! 🤩",,image,#FashionFusion #PUMAMoments,278 likes,2024-12-23
puma,"From one look to the next, @roses_are_rosie moves with  precision.",@roses_are_rosie,video,#Speedcat #PUMAID,"1,897 likes",2024-12-20
