brand,nama_produk,username,star,date,comment,sentiment,confidence_sentiment_score,aspect_sentiments,Keywords Tags
puma,PUMA Men's Viz Runner Cross-trainer,R. Smith,5,5-Sep-21,these came directly from the puma store so i didnt have to worry about fakes and i always order from amazon prime first i would say make sure if you have wide feet purchase the wide size as these shoes are very narrow i have ordered the regular ones before and they are not as comfortable as the wide but still wearable i moved nikes to puma and find they look allot better,positif,0.639742196,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['wide', 'puma', 'allot', 'moved', 'fakes', 'nikes', 'worry', 'directly', 'wearable', 'prime']"
puma,PUMA Men's Viz Runner Cross-trainer,Timothy M Howell,5,15-Oct-23,they look and fit great thank you,positif,0.989232063,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['thank', 'look', 'great', 'fit']"
puma,PUMA Men's Viz Runner Cross-trainer,Rigoberto,5,16-Oct-23,good material exact measurement and good quality,positif,0.816654921,{'quality': 'positive'},"['measurement', 'good', 'exact', 'material', 'quality']"
puma,PUMA Men's Viz Runner Cross-trainer,Luciano Reyes,5,17-Oct-23,its comfortable and lightweight,positif,0.747409582,"{'comfort': 'positive', 'quality': 'positive'}","['lightweight', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Gerson,5,14-Oct-23,for my use,neutral,0.737892926,"{'comfort': 'positive', 'design': 'positive', 'price': 'positive', 'quality': 'positive'}",['use']
puma,PUMA Men's Viz Runner Cross-trainer,Jason Garcia,5,21-Dec-22,shoes arrived pretty quickly with no issues i rarely wear white now but i had to get these for xmas perfect for heading out for a nice cocktail,positif,0.968499243,"{'comfort': 'positive', 'design': 'positive', 'price': 'positive', 'quality': 'positive'}","['cocktail', 'heading', 'xmas', 'rarely', 'issues', 'quickly', 'pretty', 'arrived', 'white', 'perfect']"
puma,PUMA Men's Viz Runner Cross-trainer,Wilmer Valles,5,29-Aug-23,they arrived fast plus theyre nice pair of sneakers,positif,0.975347281,"{'comfort': 'positive', 'design': 'positive', 'price': 'positive', 'quality': 'positive'}","['plus', 'fast', 'arrived', 'theyre', 'sneakers', 'nice', 'pair']"
puma,PUMA Men's Viz Runner Cross-trainer,Jesus Garcia,5,29-Mar-23,months after buying them they are still very well preserved i stayed as expected recommended on my part,positif,0.90512079,"{'comfort': 'positive', 'quality': 'positive'}","['preserved', 'stayed', 'recommended', 'buying', 'months', 'expected']"
puma,PUMA Men's Viz Runner Cross-trainer,Lorena Garcia,5,23-Aug-23,received in good condition and very fast delivery satisfied,positif,0.937737942,"{'comfort': 'positive', 'quality': 'positive'}","['satisfied', 'condition', 'delivery', 'fast', 'received', 'good']"
puma,PUMA Men's Viz Runner Cross-trainer,Larry Graham,5,13-Jul-23,they fit and look great and was at a good price,positif,0.978963852,"{'design': 'positive', 'price': 'positive', 'quality': 'positive'}","['price', 'look', 'good', 'great', 'fit']"
puma,PUMA Men's Viz Runner Cross-trainer,Yarielky c.,5,28-Jul-23,super comfortable and very nice i recommend them,positif,0.987839997,"{'comfort': 'positive', 'quality': 'positive'}","['recommend', 'super', 'nice', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,boytrajik,5,21-Mar-23,puma is a favorite in just about all they make keep it up puma,positif,0.948099792,"{'comfort': 'positive', 'quality': 'positive'}","['puma', 'favorite', 'make', 'just']"
puma,PUMA Men's Viz Runner Cross-trainer,Sahara,5,23-Mar-23,shoes were not in a wide good for support and i love the style,positif,0.666079104,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['style', 'wide', 'support', 'love', 'good', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,TERRYTHOMAS,5,22-Sep-23,nice shoes,positif,0.808046818,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['nice', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Jose A Martinez,5,19-Jun-23,for my feets and its feeling good,positif,0.944634438,"{'comfort': 'positive', 'quality': 'positive'}","['feets', 'feeling', 'good']"
puma,PUMA Men's Viz Runner Cross-trainer,Javier G.,5,27-Aug-23,they fit me well,positif,0.75772649,"{'comfort': 'positive', 'quality': 'positive'}",['fit']
puma,PUMA Men's Viz Runner Cross-trainer,Hugo E.,5,12-Apr-23,fast shipping items as described many thanks,positif,0.866062164,"{'comfort': 'positive', 'quality': 'positive'}","['items', 'described', 'thanks', 'fast', 'shipping']"
puma,PUMA Men's Viz Runner Cross-trainer,Derrick D.,5,24-May-23,love this sneak,positif,0.921282291,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['sneak', 'love']"
puma,PUMA Men's Viz Runner Cross-trainer,DeCheryl Britton,5,15-Mar-23,excellent quality and husband loves them,positif,0.975795925,"{'comfort': 'positive', 'quality': 'positive'}","['husband', 'excellent', 'loves', 'quality']"
puma,PUMA Men's Viz Runner Cross-trainer,LUMINOTEST SAS,5,3-Mar-23,very comfortable and very well presented,positif,0.958589137,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['presented', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Maria Hawkins,5,27-Feb-23,great shoes and awesome quality,positif,0.953969181,"{'design': 'positive', 'quality': 'positive'}","['awesome', 'quality', 'great', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Amazon Customer,5,9-Apr-23,like color and markings,neutral,0.734137595,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['markings', 'color', 'like']"
puma,PUMA Men's Viz Runner Cross-trainer,Michael Anderson,5,30-Aug-22,i disliked nothing at all loved how everything was on time,positif,0.527275443,"{'comfort': 'positive', 'quality': 'positive'}","['disliked', 'loved', 'time']"
puma,PUMA Men's Viz Runner Cross-trainer,Rony J.,5,23-Aug-22,fits perfect looks amazing,positif,0.968954682,"{'design': 'positive', 'quality': 'positive'}","['amazing', 'looks', 'fits', 'perfect']"
puma,PUMA Men's Viz Runner Cross-trainer,PETER A. CUOZZO,5,5-Oct-22,love them,positif,0.943047166,"{'comfort': 'positive', 'quality': 'positive'}",['love']
puma,PUMA Men's Viz Runner Cross-trainer,Sharon,5,27-Oct-21,very happy fits my husband as expected he likes them very much and woudl recommend,positif,0.988896132,"{'comfort': 'positive', 'quality': 'positive'}","['woudl', 'likes', 'husband', 'happy', 'fits', 'expected', 'recommend']"
puma,PUMA Men's Viz Runner Cross-trainer,Steve Humphreys,5,25-May-22,i would buy them again,positif,0.835234642,"{'price': 'positive', 'quality': 'positive'}",['buy']
puma,PUMA Men's Viz Runner Cross-trainer,Shelly,5,30-Jan-22,it was for a gift an he loves it so much,positif,0.959492087,"{'comfort': 'positive', 'design': 'positive', 'price': 'positive', 'quality': 'positive'}","['gift', 'loves']"
puma,PUMA Men's Viz Runner Cross-trainer,Germán saenz,5,31-Oct-21,fits great and good looking shoes highly recommended,positif,0.974903286,"{'design': 'positive', 'quality': 'positive'}","['highly', 'recommended', 'fits', 'looking', 'good', 'great', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Dorian,5,20-Oct-20,very comfortable and fit great,positif,0.971584916,"{'comfort': 'positive', 'quality': 'positive'}","['great', 'fit', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Aidan M.,5,4-Mar-20,these shoes are great for running and very comfortable i happy with my purchase and feel like i got a great deal i use these shoes when i go to the gym and they are well fitted soft and very durable great product from puma,positif,0.98949033,"{'comfort': 'positive', 'price': 'positive', 'quality': 'positive'}","['great', 'fitted', 'deal', 'gym', 'durable', 'soft', 'running', 'happy', 'purchase', 'use']"
puma,PUMA Men's Viz Runner Cross-trainer,Amazon Customer,5,25-Sep-22,very comfortable fit very sporty looking,positif,0.946581602,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['sporty', 'looking', 'fit', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,george e,5,22-Jun-22,i only by puma because of fit and comfort this style of pumas are no different fit fine right out of the box,positif,0.662813544,"{'comfort': 'positive', 'quality': 'positive'}","['fit', 'pumas', 'comfort', 'fine', 'different', 'puma', 'style', 'right', 'box']"
puma,PUMA Men's Viz Runner Cross-trainer,Rocky,5,23-Aug-23,so nice old school looknow the trick is to keep them clean great fit very comfortable i am not really using these for any activities just to run a round in they look great super bright white even my teenagers said they look good,positif,0.973239124,"{'comfort': 'positive', 'quality': 'positive'}","['looknow', 'teenagers', 'trick', 'round', 'activities', 'bright', 'look', 'great', 'using', 'school']"
puma,PUMA Men's Viz Runner Cross-trainer,Joseph,5,14-Nov-23,this is a great show nothing wrong with them,positif,0.958051264,"{'comfort': 'positive', 'quality': 'positive'}","['wrong', 'great']"
puma,PUMA Men's Viz Runner Cross-trainer,Aaron Humphress,5,8-Nov-23,very comfortable sturdy and they look good with everything i love them,positif,0.990960419,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['sturdy', 'look', 'love', 'good', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Nando,5,10-Jul-24,i liked the very soft sneakers and they were perfect for me,positif,0.982711494,"{'comfort': 'positive', 'quality': 'positive'}","['liked', 'soft', 'perfect', 'sneakers']"
puma,PUMA Men's Viz Runner Cross-trainer,Daniel Vasquez,5,11-Jan-23,purchase puma mens viz runner crosstrainer and enjoy the crosstrainer shoe i would recommend this shoe very nice and comfortable and durable,positif,0.980569482,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['crosstrainer', 'runner', 'viz', 'enjoy', 'durable', 'shoe', 'mens', 'purchase', 'puma', 'recommend']"
puma,PUMA Men's Viz Runner Cross-trainer,KIWI-R&K,5,29-Jul-23,bought this for a present and he loved it he said they fit comfortably and it was a nice fit,positif,0.988745868,"{'comfort': 'positive', 'quality': 'positive'}","['present', 'comfortably', 'fit', 'said', 'loved', 'nice', 'bought']"
puma,PUMA Men's Viz Runner Cross-trainer,Corey,5,9-Dec-23,i run a bar and these hold up extremely well to constant everyday wear couldnt recommend more,positif,0.974689424,"{'comfort': 'positive', 'quality': 'positive'}","['bar', 'constant', 'hold', 'extremely', 'everyday', 'run', 'recommend', 'wear']"
puma,PUMA Men's Viz Runner Cross-trainer,Goodyear excelent,5,4-May-23,good comfortable,positif,0.856261671,"{'comfort': 'positive', 'quality': 'positive'}","['good', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Ethel,5,28-Mar-24,too tight across toe,negatif,0.578431487,"{'comfort': 'negative', 'design': 'negative', 'price': 'negative', 'quality': 'negative'}","['toe', 'tight']"
puma,PUMA Men's Viz Runner Cross-trainer,Annette Ashley,5,24-Sep-24,bought this for my hubby he loved it true to size and comfortable i would recommend this shoe to anyone,positif,0.983585596,"{'comfort': 'positive', 'quality': 'positive'}","['hubby', 'loved', 'true', 'recommend', 'bought', 'comfortable', 'shoe', 'size']"
puma,PUMA Men's Viz Runner Cross-trainer,Angelica,5,4-Mar-23,they are beautiful love them i wasnt expecting them till next week on tuesday they got here early thanks,positif,0.98760426,"{'comfort': 'positive', 'quality': 'positive'}","['till', 'tuesday', 'expecting', 'early', 'thanks', 'week', 'wasnt', 'beautiful', 'got', 'love']"
puma,PUMA Men's Viz Runner Cross-trainer,Simona,5,24-Jan-24,matching size robust colors as in the photo,neutral,0.714860618,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['robust', 'matching', 'photo', 'colors', 'size']"
puma,PUMA Men's Viz Runner Cross-trainer,Juergen Rossdeutscher,5,9-May-23,well made and good materials the look is sleek and aggressive,positif,0.956159472,"{'design': 'positive', 'quality': 'positive'}","['aggressive', 'sleek', 'materials', 'look', 'good']"
puma,PUMA Men's Viz Runner Cross-trainer,Ramiro Juárez,5,17-Dec-24,excellent for the gym comfortable not too heavy i dont know yet how resistant they are to use but i will definitely order them again,positif,0.93944037,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['resistant', 'heavy', 'gym', 'excellent', 'know', 'definitely', 'use', 'order', 'dont', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Luis A.,5,30-Oct-24,very nice just like the photo,positif,0.985662162,"{'comfort': 'positive', 'quality': 'positive'}","['photo', 'nice', 'just', 'like']"
puma,PUMA Men's Viz Runner Cross-trainer,Nestor,5,10-Oct-24,they are almost weightless and very comfortable to walk on,positif,0.917369545,"{'comfort': 'positive', 'quality': 'positive'}","['weightless', 'walk', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Cliente Amazon,5,13-Sep-24,i bought them for my son for his school and sports day they are super comfortable and they are very nice they arrived in a timely manner,positif,0.988921881,"{'comfort': 'positive', 'quality': 'positive'}","['manner', 'timely', 'sports', 'school', 'son', 'arrived', 'super', 'day', 'nice', 'bought']"
puma,PUMA Men's Viz Runner Cross-trainer,Max L.,5,4-Aug-24,they are casual sneakers they are stiff you need to ask for one more number so one more is a little short,neutral,0.712335169,"{'comfort': 'negative', 'design': 'negative', 'quality': 'negative'}","['ask', 'number', 'stiff', 'short', 'casual', 'need', 'sneakers', 'little']"
puma,PUMA Men's Viz Runner Cross-trainer,Jesus Gonzalez Castelan,5,28-Feb-24,the sneakers are very nice just what i expected,positif,0.983323276,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['expected', 'sneakers', 'nice', 'just']"
puma,PUMA Men's Viz Runner Cross-trainer,Mario C.,5,28-Oct-23,truly beautiful comfortable and excellent quality shoes,positif,0.974769175,"{'comfort': 'positive', 'quality': 'positive'}","['truly', 'excellent', 'beautiful', 'quality', 'comfortable', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,José Román Araujo Castillo,5,29-Aug-23,the recognized quality of puma quite comfortable,positif,0.794789553,"{'comfort': 'positive', 'quality': 'positive'}","['recognized', 'quite', 'puma', 'quality', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,heike sappelt,5,11-Dec-22,stylish sneaker good fit,positif,0.857303262,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['stylish', 'sneaker', 'good', 'fit']"
puma,PUMA Men's Viz Runner Cross-trainer,Arnold,5,10-Dec-22,they are as expected good quality excellent price size to match i bought pairs of puma,positif,0.958216846,"{'price': 'positive', 'quality': 'positive'}","['match', 'excellent', 'pairs', 'puma', 'expected', 'price', 'quality', 'bought', 'good', 'size']"
puma,PUMA Men's Viz Runner Cross-trainer,Kreslyn,4,2-Jul-24,stylish comfy great for the money,positif,0.916386127,"{'comfort': 'positive', 'design': 'positive', 'price': 'positive', 'quality': 'positive'}","['money', 'stylish', 'comfy', 'great']"
puma,PUMA Men's Viz Runner Cross-trainer,MGW,4,9-Nov-24,ive got some mobility issues and been wearing tazons and now the viz for many many years this pair is good but not great just because they are a bit stiffer and the foam insert is awful they fit comfortably and feel pretty good but im gon na have to add an insert i do buy the tazonviz again and again due to its sturdy supportive feel but this pair is pretty darn stiff even for me,negatif,0.476316661,"{'comfort': 'negative', 'design': 'negative', 'quality': 'positive'}","['insert', 'pretty', 'tazons', 'tazonviz', 'feel', 'mobility', 'darn', 'stiffer', 'viz', 'awful']"
puma,PUMA Men's Viz Runner Cross-trainer,Anonymous,4,18-Jul-24,a little narrow but fairly comfortable,positif,0.655490458,"{'comfort': 'positive', 'quality': 'positive'}","['fairly', 'narrow', 'little', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Herbert Stanley,4,19-Jun-24,fit and style were what i wanted and this show delivered a week as comfort,positif,0.944129348,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['delivered', 'week', 'comfort', 'wanted', 'style', 'fit']"
puma,PUMA Men's Viz Runner Cross-trainer,Alessandro,4,6-Mar-24,finally a white pair of sneakers all black past yrs puma is best value on the market thru amazon or retail,positif,0.858388186,"{'price': 'positive', 'quality': 'positive'}","['yrs', 'retail', 'market', 'finally', 'value', 'past', 'best', 'black', 'amazon', 'puma']"
puma,PUMA Men's Viz Runner Cross-trainer,lisa,4,21-Mar-24,great buy,positif,0.896531701,"{'comfort': 'positive', 'price': 'positive', 'quality': 'positive'}","['buy', 'great']"
puma,PUMA Men's Viz Runner Cross-trainer,david gauthier,4,28-Aug-23,i ordered the wide pair of shoes thinking they may be too wide glad i did these are very snug and hopefully in time theyll break in nicely as far as looks go theyre better than i thought theyd look im really impressed on the quality and how they look on my feet,positif,0.980656683,"{'design': 'positive', 'quality': 'positive'}","['wide', 'theyd', 'nicely', 'impressed', 'hopefully', 'theyll', 'look', 'thinking', 'glad', 'snug']"
puma,PUMA Men's Viz Runner Cross-trainer,Matthew Bennett,4,1-Sep-23,shoes are durable and soooo comfortable light as a feather and very stylish,positif,0.962299585,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['feather', 'soooo', 'durable', 'light', 'stylish', 'comfortable', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Robert,4,31-Aug-23,very nice shoes easy to maintain,positif,0.925989151,"{'comfort': 'positive', 'quality': 'positive'}","['maintain', 'easy', 'nice', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Amazon Customer,4,4-Jul-23,very comfortable good shoes,positif,0.934114635,"{'comfort': 'positive', 'quality': 'positive'}","['good', 'comfortable', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Holland Topolski,4,12-Jun-22,you cant remove the insoles when they wear out so that means perfectly good shoes are no longer useable,negatif,0.822548985,"{'comfort': 'negative', 'design': 'negative', 'quality': 'negative'}","['useable', 'means', 'remove', 'longer', 'insoles', 'perfectly', 'good', 'wear', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,shawn,4,22-Jan-23,i use for every day use not sports comfy had mine for over a year,neutral,0.716528714,"{'comfort': 'positive', 'quality': 'positive'}","['use', 'sports', 'year', 'comfy', 'day']"
puma,PUMA Men's Viz Runner Cross-trainer,jose,4,20-Jul-24,the sneakers are very comfortable and the size is correct unlike other puma tennis models because the sizes are a little smaller in this model the size is fine so you can order the size you wear without fear that they will be small the only problem i see that these sneakers have is that they get dirty very easily and if not they clean the stains immediately they dont get rid of them well besides that the model is very nice and comfortable,positif,0.869224846,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['model', 'fear', 'rid', 'sneakers', 'size', 'stains', 'unlike', 'models', 'immediately', 'easily']"
puma,PUMA Men's Viz Runner Cross-trainer,Hector Cruz Rojas,4,3-Jan-24,tailormade sneakers pleasant soft to walk on good quality,positif,0.860357761,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['tailormade', 'pleasant', 'soft', 'walk', 'sneakers', 'quality', 'good']"
puma,PUMA Men's Viz Runner Cross-trainer,Danel,4,19-Apr-23,at first glance they look good no problem puma mens viz runner crosstrainer,positif,0.925554097,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['crosstrainer', 'glance', 'runner', 'viz', 'problem', 'mens', 'puma', 'look', 'good']"
puma,PUMA Men's Viz Runner Cross-trainer,lawrence byrdsong,3,8-Oct-24,to be comfortable order a size bigger than what you usually wear,neutral,0.748116195,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['bigger', 'usually', 'order', 'wear', 'comfortable', 'size']"
puma,PUMA Men's Viz Runner Cross-trainer,luis Henriquez,3,14-Jul-23,eventually these sneakers will misshapen as you continue using and creases will appear alot sooner,negatif,0.570848703,"{'comfort': 'negative', 'design': 'negative', 'quality': 'negative'}","['misshapen', 'creases', 'sooner', 'alot', 'continue', 'eventually', 'appear', 'using', 'sneakers']"
puma,PUMA Men's Viz Runner Cross-trainer,W. Nass,3,21-Jul-23,it looks nice but a little bulkyheavy not ideal for walking or running,neutral,0.382072836,"{'comfort': 'negative', 'design': 'negative', 'quality': 'negative'}","['bulkyheavy', 'ideal', 'running', 'looks', 'walking', 'nice', 'little']"
puma,PUMA Men's Viz Runner Cross-trainer,Karetaker,3,19-May-23,i like the look and comfort of them but had to return them because the stitching was coming out,neutral,0.518124759,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['stitching', 'coming', 'comfort', 'return', 'look', 'like']"
puma,PUMA Men's Viz Runner Cross-trainer,B,3,27-May-23,not the most comfortable to walk in too expensive on here in puma store on sale,negatif,0.772306085,"{'comfort': 'negative', 'price': 'negative', 'quality': 'negative'}","['expensive', 'sale', 'store', 'walk', 'puma', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Chris G,3,1-Jun-23,size was a bit off and too narrow,negatif,0.720161021,"{'comfort': 'negative', 'design': 'negative', 'quality': 'negative'}","['bit', 'narrow', 'size']"
puma,PUMA Men's Viz Runner Cross-trainer,Antonio GB,3,23-Oct-24,its not the quality i expected and since they are synthetic my feet sweat a lot for the price its not a good buy i dont recommend them,negatif,0.973039687,"{'price': 'negative', 'quality': 'negative'}","['sweat', 'synthetic', 'lot', 'expected', 'recommend', 'price', 'buy', 'dont', 'quality', 'feet']"
puma,PUMA Men's Viz Runner Cross-trainer,Michel Gignac,3,18-Sep-23,this puma model is tangled and not very comfortable,negatif,0.920195818,"{'comfort': 'negative', 'design': 'negative', 'quality': 'negative'}","['tangled', 'model', 'puma', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Leroy,2,18-Nov-23,looks good but the most uncomfortable shoes i now own cheaply made horrible insoles got two insoles in it to make it wearable,negatif,0.709357023,"{'comfort': 'negative', 'design': 'positive', 'quality': 'negative'}","['insoles', 'horrible', 'wearable', 'cheaply', 'make', 'looks', 'uncomfortable', 'got', 'good', 'shoes']"
