nama_produk,Terjual,Bintang Produk,Harga Produk,Product Summary,Fabric type,Care instructions,Origin,Sole material,Department,Date First Available,Deskripsi,Info Tambahan
PUMA Select Men's Suede Classic Plus Sneakers,100,4.6,64,"Customers appreciate the shoes' appearance, quality, and comfort. They find the style nice and nostalgic, with soft soles and enough room for their feet to feel comfortable. Many consider the shoes a good value for the price. However, some customers have differing opinions on the fit, build quality, and color accuracy.",100% Suede,Machine Wash,Imported,Rubber,mens,1-Apr,Suede sneaker with Formstrip overlay featuring lace-up vamp and padded collar and tongue Padded collar for more cushioning Perforations for added breathability Rubber outsole for an optimum grip,"Is Discontinued By Manufacturer : No, Product Dimensions : 11 x 4 x 7 inches; 13 ounces, Item model number : Suede Cl, Department : mens, Date First Available : April 1, 2023, Manufacturer : PUMA, ASIN : B00605L38M"
PUMA Women's Carina Leather Sneaker,400,4.5,53,"Customers find the shoes comfortable with a nice leather upper and thick sole. They have great cushioning and don't hurt their feet after long days of wear. The style is trendy and goes well with most outfits. Customers are satisfied with the value for money, ease of cleaning, and versatility of the shoes. However, some customers have mixed opinions on the sizing and quality.",100% Leather and Synthetic,Machine Wash,Imported,Rubber,womens,8-Aug,"RETRO AND TRENDY: 80's inspired, adapted to fit today's laid-back sneaker look of Californian beach towns. ENHANCED PLATFORM: New tooling with an elevated platform sole. HIGH-QUALITY CONSTRUCTION: This shoe contains a premium leather upper.","Department : womens, Date First Available : August 8, 2024, Manufacturer : PUMA, ASIN : B0DCK7P5DT"
PUMA Women's Riaze Prowl Cross Trainer,200,4.4,64,"Customers find these shoes comfortable and well-cushioned. They appreciate the attractive colors and lightweight design. Many consider them a good value for the price. However, some have differing opinions on the fit, durability, and arch support.",100% Synthetic,Machine Wash,China,Synthetic and Ethyl Vinyl Acetate,,,Advanced lacing structure with straps extending from midsole for extra support Rubber outsole for durability and optimal traction EVA midsole for lightweight cushioning Target gender: Female,Tidak ditemukan
PUMA Women's Pacer 23 Sneaker,50,4.3,56,"Customers find the shoes comfortable and stylish with great cushioning and no blisters or rubbing. They appreciate the quality fabric and lightweight design. However, some customers report issues with wear resistance, such as the inside pads wearing down quickly after daily use. There are mixed opinions on the fit.",,,Imported,Rubber,womens,,"REVAMPED DESIGN: Inspired from Techno Symbiosis, the connect between humans and technology. Technology provides humans with ease, comfort and speed. The same attributes the Pacer 23 has! COMFORT AND SUPPORT: Utilizes PUMA's SoftFoam+, a step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel.",Tidak ditemukan
Reebok Unisex Adult Classic Leather,200,4.5,56,"Customers find the shoes comfortable and well-made. They appreciate the nice material and design. The shoes are considered good value for money, with a good color and design. However, some customers have mixed opinions on the fit and leather quality.",,Machine Wash,Imported,Rubber,mens,16-Oct,Life Is Classic: Take the inspiration of being an icon into all you do and be the movement you want to make in the world with these leather sneakers for men and women; Welcome your legacy in Reebok men's and women's fashion sneakers Classic & Comfortable Sneakers for Women and Men: These men's and women's sneakers are a classic icon; Our always-comfortable shoes come equipped with a soft leather upper and gum midsole,"Department : mens, Date First Available : October 16, 2024, Manufacturer : Reebok, ASIN : B0DK5L2JX9"
Reebok Unisex Adult Glide Sneaker,50,4.4,41,"Customers appreciate the comfortable and stylish shoes. They find the memory foam insoles to be soft and cushioned, making them feel like walking on air. The shoes have a classic look that can be dressed up or down. Many customers consider these shoes great value for money, providing good support. However, some customers have differing opinions on the sizing, durability, and ease of cleaning.",,,Imported,Rubber,unisex-adult,6-Nov,Life Is Classic: Take the inspiration of being an icon into all you do and be the movement you want to make in the world with these sneakers for men and women; Welcome your legacy in Reebok men's and women's fashion sneakers Classic & Comfortable Sneakers for Women and Men: These men's and women's sneakers are a classic icon; Our always-comfortable shoes come equipped with a soft and fashion-forward upper,"Date First Available : November 6, 2024, ASIN : B0DM5LHHZK"
Reebok Men's Club C 85 Sneaker,50,4.6,74,"Customers find the shoes comfortable and durable. They appreciate the nice look and color that goes with most outfits. The leather material feels like real leather, and they are easy to slip into. Many customers find them a good value for money. However, some have different opinions on the fit.",100% Leather,Machine Wash,Made in the USA or Imported,Rubber,mens,13-Aug,"Sneakers for Men with Signature Style: Featuring a soft garment leather upper for full-foot support with terry lining on tongue top and heel for comfort, these men's fashion sneakers display a vintage woven Reebok label that adds appeal and style Durable and Efficient Tennis Shoes for Men: These stylish men's sneakers feature a die-cut EVA midsole to absorb impact and provide support that lasts many strolls and jogs","Item model number : LTB09, Department : mens, Date First Available : August 13, 2021, Manufacturer : Reebok, ASIN : B0CW96F66F"
Reebok Women's Club C Double Sneaker,50,4.6,53,"Customers appreciate the shoes' appearance, comfort, and quality. They find the colors appealing and able to match various styles. Many consider the shoes sturdy, well-made, and lasting forever. The color, value for money, and ease of cleaning are also appreciated. However, some customers have mixed opinions on the fit.",,Machine Wash,Made in the USA or Imported,Rubber,womens,16-Apr,"Superior Performance: Ideal for daily, casual, and athleisure wear, these casual shoes boast a high-abrasion outsole that adds durable responsiveness to your stride No Heel Durable and Lightweight: Ideal for athleisure and everyday wear, these casual shoes for women feature a high-abrasion rubber outsole that adds responsiveness to your stride","Item model number : Club C Double, Department : womens, Date First Available : April 16, 2024, Manufacturer : Reebok, ASIN : B0D8RDGT28"
Reebok womens Club C 85 Vintage,1000,4.5,55,"Customers find the shoes comfortable with a good fit and length for their feet. They appreciate the cute style that complements various outfits. The cushioning and support make the shoes feel supportive, making them great for standing all day. Many customers consider the shoes versatile and good value for money. However, some have issues with arch support and opinions differ on durability.",100% Leather,Machine Wash,Imported,Rubber,womens,21-Oct,Women's Sneakers with Signature Style: These women's fashion sneakers feature a soft garment leather upper for full-foot support complete with comfortable terry lining on the tongue top and heel; A woven Reebok label adds vintage appeal and style Efficient Support for Everyday: These stylish sneakers for women feature a supportive die-cut EVA midsole designed to absorb impact for long strolls and all-day wear; These tennis shoes will always complement your favorite go-to outfits,"Department : womens, Date First Available : October 21, 2024, Manufacturer : Reebok, ASIN : B0DKF2NX1S"
Reebok Unisex Adult Club C 85 Vintage,900,4.6,60,"Customers find these sneakers comfortable and stylish. They appreciate the smooth leather and cushioning insoles. The shoes are versatile and can be styled with practically anything. Many customers find them durable, a great casual/everyday shoe, and a good value for money. However, some customers are disappointed with the color and have different opinions on the fit.",100% Soft Leather,Machine Wash,Imported,Rubber,unisex-adult,,Sneakers with Signature Style: These men's and women's fashion sneakers feature a soft garment leather upper for full-foot support complete with comfortable terry lining on the tongue top and heel; A woven Reebok label adds vintage appeal and style Efficient Support for Everyday: These stylish sneakers for women and men feature a supportive die-cut EVA midsole designed to absorb impact for long strolls and all-day wear; These tennis shoes will always complement your favorite go-to outfits,Tidak ditemukan
Reebok Women's Court Advance Sneaker,100,4.4,45,"Customers find the shoes comfortable and well-made. They appreciate the nice look and old school style. Many find them a good value for money and wearable, though opinions differ on the fit and ease of cleaning.",,,Imported,Rubber,womens,25-Dec,"Life Is Classic: Take the inspiration of being an icon into all you do and be the movement you want to make in the world with these leather sneakers for women; Welcome your legacy in Reebok women's fashion sneakers Classic & Comfortable Sneakers for Women and Men: These women's and men's sneakers are a classic icon; Our always-comfortable shoes come equipped with a smoother leather upper, a perforated toe box, and a padded collar","Package Dimensions : 14 x 8 x 6 inches; 1.5 Pounds, Item model number : LTE51, Department : womens, Date First Available : December 25, 2023, Manufacturer : Reebok, ASIN : B0CQXWXRP6"
Converse Chuck Taylor All Star Low Top Black White/Canvas 8 Women/6 Men,100,4.7,55,69,,Machine Wash,,Rubber,womens,28-Jun,Closure: Lace-Up Outer Material: Canvas Heel Type: Flat Shoe Width: Medium,"Product Dimensions : 16 x 7 x 5 inches; 1.85 Pounds, Item model number : MNT-M9166, Department : womens, Date First Available : June 28, 2019, Manufacturer : Converse, ASIN : B07TJRYY9Y"
Converse M9162 White Beige White CT AS HI Can,300,4.3,69,"Customers find these shoes to be of good quality with a great look. They appreciate the comfortable fit and moderate ankle support. Many consider them a good value for the price. While some customers like the wearability and functionality, others dislike the durability and have differing opinions on the fit.",Textil,Machine Wash,,Rubber,unisex-adult,4-Sep,Converse All Star Hi Top Chuck Taylor Chucks High Top Full Canvas Upper 7 Eyelet Lace Up Front Converse Badge On Outer Boot,"Is Discontinued By Manufacturer : No, Product Dimensions : 1.85 x 5.67 x 2.32 inches; 1.1 Pounds, Item model number : CN151225C or 17267676C, Department : unisex-adult, Date First Available : September 4, 2003, Manufacturer : CONVERSE, ASIN : B000NRR30K"
Converse Unisex-Adult Chuck Taylor All Star Seasonal 2019 High Top Sneaker,50,4.6,69,"Customers find these shoes comfortable and true to size. They appreciate the good-looking style that matches any outfit. Many consider them a great value for the price and consider them a perfect summer shoe. The shoes are easy to clean. However, some customers have differing opinions on the quality, leather material, and sturdiness of the shoes.",100% Leather,Machine Wash,Imported,Rubber,unisex-adult,,Premium leather upper Elevated outsole 90s inspired EVA insole for cushioning,Tidak ditemukan
Converse M7650 White Optical White HI,400,4.6,69,"Customers find the shoes comfortable and cozy. They appreciate the classic style that never goes out of style. The shoes are well-made and durable, making them a staple in anyone's wardrobe. Many customers enjoy the colors and find them fun to wear. Overall, customers find the shoes a good value for money.",100% Textile,Machine Wash,Imported,Rubber,unisex-adult,4-Sep,"Lace-up, high-top sneaker OrthoLite insole for cushioning Medial eyelets for airflow Canvas upper","Is Discontinued By Manufacturer : No, Product Dimensions : 9.84 x 3.94 x 5.91 inches; 2.2 Pounds, Item model number : 99776M373180, Department : unisex-adult, Date First Available : September 4, 2003, Manufacturer : Converse, ASIN : B0000DD9PW"
Converse Men's Hi-Top Trainers,100,4.6,59,"Customers appreciate the shoes for their quality, fit, and style. They find the shoes well-made, with no flaws, and the sizing and width are perfect. The classic looks and color options are appreciated. Many customers consider the shoes good value for money, saying they are comfortable and cushiony. Some customers like the danceability and gift value. However, opinions differ on the support provided.",Canvas,Machine Wash,,Manmade-sole,unisex-adult,6-Aug,canvas solid manmade-sole closed-toe lace-up,"Is Discontinued By Manufacturer : No, Product Dimensions : 11 x 7 x 4 inches; 1.1 Pounds, Item model number : X9621, Department : unisex-adult, Date First Available : August 6, 2003, Manufacturer : Converse, ASIN : B000OLTRPY"
Converse Men's Ox Chuck 70 Sneakers,100,4.6,69,"Customers appreciate the quality, style, and comfort of these shoes. They find the shoes well-made, with nice colors and a classic design that never goes out of style. Many customers like the value for money and consider them authentic converse. However, some have mixed opinions on the size and durability.",,,Imported,Rubber,womens,16-Sep,"Rubber sole Contrast stitching, Logo patch at side Platform: 1.5in / 35mm Platform profile Round toe","Package Dimensions : 11.57 x 8.11 x 4.37 inches; 2.14 Pounds, Item model number : A08287F, Department : womens, Date First Available : September 16, 2024, Manufacturer : Converse-Women's, ASIN : B0CQTTX8ND"
Converse Women's Chuck Taylor All Star Shoreline Slip On,100,4.5,59,"Customers appreciate the shoes' style, comfort, and slip-on design. They find the shoes look brand new, are comfortable, and easy to slip on and off. Many customers love these authentic, good quality shoes. However, some dislike heel slippage and have differing opinions on the fit.",Textile,Machine Wash,Imported,Rubber and Textile,mens,13-Mar,"Slip-on, low-top sneaker Fixed laces. Features medial eyelets and no tie design Elastic collar Pull loop. Fit tip is true to size recommend your normal size Canvas upper Inventory may have either logo with the star in the ""O"" to the logo without as vendor has transitioned style","Is Discontinued By Manufacturer : No, Product Dimensions : 5 x 5 x 0.7 inches; 12 ounces, Item model number : 537081F, Department : mens, Date First Available : March 13, 2013, Manufacturer : Converse, ASIN : B008L2GT7W"
