id,name,brand,category,color,gender,price,stock,rating,reviews,status,release_date,weight,size,returnable
24,Puma Running Lite,Puma,Running,Navy,Men,2024000.0,10,4.7,25,New,2021-01-19,53.5,4.5,t
25,Puma Sandals Pro,Puma,Sandals,Navy,Men,1267000.0,0,4.4,821,Regular,2023-12-10,52.0,4.5,t
26,Reebok Sandals Pro,Reebok,Sandals,Blue,Men,2315000.0,40,3.8,842,New,2021-11-02,54.0,4.0,t
27,Adidas Running Pro,Adidas,Running,Blue,Men,1509000.0,0,3.8,210,Discontinued,2021-02-19,0.5,1.5,f
28,Puma Casual Classic,Puma,Casual,Black,Men,1772000.0,0,3.6,842,Regular,2022-12-29,34.0,2.7,f
29,Reebok Sandals Elite,Reebok,Sandals,Green,Unisex,2474000.0,0,3.7,964,Discontinued,2021-05-28,25.5,4.3,t
30,Puma Badminton Pro,Puma,Badminton,White,Unisex,661000.0,0,3.5,702,Clearance,2022-11-09,92.6,4.6,f
31,Puma Basketball Pro,Puma,Basketball,Green,Women,560000.0,50,4.9,436,Discontinued,2021-03-31,13.4,3.5,t
32,Reebok Football Ultra,Reebok,Football,White,Men,516000.0,0,5.0,242,Regular,2020-10-20,49.9,4.3,f
33,Puma Tennis Ultra,Puma,Tennis,Purple,Unisex,2121000.0,0,3.8,297,New,2024-12-20,46.4,1.3,f
34,Adidas Football Pro,Adidas,Football,Blue,Unisex,1805000.0,50,4.0,358,New,2020-06-17,85.8,4.0,t
35,Reebok Basketball Pro,Reebok,Basketball,Green,Unisex,2651000.0,50,3.9,36,Discontinued,2024-02-22,33.0,4.2,f
36,Converse Football Elite,Converse,Football,Green,Unisex,953000.0,20,3.6,708,Regular,2021-03-02,63.7,2.9,f
37,Reebok Basketball Ultra,Reebok,Basketball,White,Unisex,2815000.0,0,4.0,795,Clearance,2024-08-16,73.9,2.9,f
38,Nike Casual Elite,Nike,Casual,Grey,Women,2957000.0,10,4.9,984,Clearance,2023-03-15,55.4,1.2,t
39,Converse Casual Lite,Converse,Casual,Purple,Men,2857000.0,0,3.7,912,Clearance,2024-03-14,87.8,1.2,t
40,Adidas Football Lite,Adidas,Football,Blue,Unisex,1806000.0,50,3.7,759,Regular,2021-03-15,0.6,2.5,t
41,Converse Running Ultra,Converse,Running,Purple,Men,1270000.0,30,4.4,238,Regular,2022-02-01,84.2,3.8,t
42,Reebok Casual Lite,Reebok,Casual,Grey,Men,1962000.0,10,3.5,960,Clearance,2020-12-21,4.5,1.8,f
43,Nike Sandals Pro,Nike,Sandals,Pink,Women,1264000.0,20,4.6,214,Clearance,2023-08-06,18.2,3.9,t
44,Puma Tennis Ultra,Puma,Tennis,Purple,Men,1992000.0,50,4.0,666,Discontinued,2021-11-22,29.4,2.1,t
45,Nike Casual Lite,Nike,Casual,Navy,Women,664000.0,0,3.8,332,Clearance,2022-03-29,48.1,2.0,t
46,Adidas Badminton Pro,Adidas,Badminton,Pink,Women,2676000.0,10,4.8,420,Clearance,2021-12-07,57.7,3.5,t
47,Nike Football Lite,Nike,Football,Navy,Women,889000.0,10,3.9,304,New,2022-06-21,19.6,1.1,f
48,Adidas Running Ultra,Adidas,Running,Grey,Unisex,1458000.0,0,3.6,835,Regular,2022-04-05,9.8,4.9,f
49,Converse Badminton Classic,Converse,Badminton,Purple,Men,2762000.0,10,3.9,34,Regular,2021-09-02,36.6,2.7,f
50,Converse Casual Lite,Converse,Casual,Navy,Unisex,1137000.0,20,3.5,454,Clearance,2023-04-10,26.8,3.8,t
51,Reebok Badminton Ultra,Reebok,Badminton,Pink,Men,1070000.0,40,3.9,108,Discontinued,2021-12-02,18.4,1.9,t
52,Puma Tennis Lite,Puma,Tennis,Blue,Women,1667000.0,0,4.2,406,Discontinued,2020-12-25,51.0,3.7,t
53,Nike Sandals Pro,Nike,Sandals,Blue,Women,2788000.0,30,4.1,466,New,2023-10-13,77.6,2.2,t
54,Nike Basketball Elite,Nike,Basketball,Pink,Unisex,1119000.0,50,4.3,648,Discontinued,2022-04-05,20.8,4.6,t
55,Nike Tennis Ultra,Nike,Tennis,Green,Women,2879000.0,10,4.9,831,Regular,2020-05-12,21.8,2.9,t
56,Adidas Sandals Pro,Adidas,Sandals,Pink,Unisex,2676000.0,50,4.3,337,Clearance,2020-10-31,91.7,2.9,t
57,Nike Casual Ultra,Nike,Casual,Navy,Women,615000.0,0,4.6,475,Discontinued,2020-05-23,71.7,4.8,t
58,Reebok Tennis Elite,Reebok,Tennis,Red,Women,2939000.0,40,4.2,308,Clearance,2024-02-23,45.0,2.4,t
59,Converse Running Lite,Converse,Running,Pink,Women,2420000.0,10,4.8,981,Discontinued,2020-11-03,21.0,4.1,t
60,Nike Badminton Elite,Nike,Badminton,Purple,Unisex,2612000.0,30,4.9,204,Regular,2020-03-19,34.0,3.0,t
61,Nike Sandals Classic,Nike,Sandals,White,Men,2148000.0,40,4.1,727,Clearance,2024-11-19,57.9,4.2,f
62,Reebok Running Classic,Reebok,Running,Navy,Women,2379000.0,10,4.2,865,Regular,2023-05-03,37.6,2.5,t
63,Nike Football Lite,Nike,Football,Orange,Men,2288000.0,0,4.7,182,Discontinued,2024-08-08,5.8,3.0,t
64,Converse Football Pro,Converse,Football,Red,Men,1434000.0,0,4.2,876,New,2021-09-03,58.6,2.0,t
65,Nike Running Elite,Nike,Running,Grey,Men,1896000.0,40,3.5,520,Regular,2023-04-06,63.3,2.7,t
66,Adidas Badminton Pro,Adidas,Badminton,White,Women,1714000.0,0,4.1,105,Discontinued,2023-01-07,85.9,1.4,t
67,Adidas Football Pro,Adidas,Football,Pink,Women,2216000.0,0,3.8,559,Discontinued,2023-07-23,32.3,4.3,t
68,Nike Tennis Lite,Nike,Tennis,Orange,Men,2005000.0,0,4.0,181,Discontinued,2021-10-08,83.4,4.0,t
69,Reebok Running Pro,Reebok,Running,Orange,Unisex,1340000.0,20,4.4,316,New,2024-09-08,63.2,3.8,t
70,Converse Basketball Pro,Converse,Basketball,Red,Men,2084000.0,0,4.3,176,Clearance,2021-03-27,91.9,3.6,t
71,Reebok Running Lite,Reebok,Running,Pink,Women,1659000.0,50,4.7,413,Regular,2024-05-24,68.5,2.8,t
72,Adidas Sandals Classic,Adidas,Sandals,Black,Unisex,766000.0,20,4.4,17,New,2022-10-21,18.7,2.7,t
73,Puma Sandals Classic,Puma,Sandals,Navy,Women,796000.0,0,4.5,709,New,2022-01-12,37.6,2.1,t
74,Adidas Casual Pro,Adidas,Casual,Red,Unisex,2116000.0,30,4.1,960,New,2021-01-23,36.9,1.5,t
75,Nike Running Elite,Nike,Running,Orange,Men,543000.0,0,4.1,861,Discontinued,2024-11-16,71.6,2.8,t
76,Puma Sandals Classic,Puma,Sandals,Grey,Women,875000.0,40,4.4,745,Clearance,2024-09-13,79.9,3.8,t
77,Reebok Badminton Classic,Reebok,Badminton,Orange,Unisex,1090000.0,50,4.0,988,Clearance,2022-11-14,23.0,2.7,f
78,Reebok Casual Lite,Reebok,Casual,Blue,Men,1073000.0,50,4.7,196,Discontinued,2022-10-14,31.3,1.1,f
79,Adidas Running Lite,Adidas,Running,Grey,Women,2713000.0,40,4.2,16,Clearance,2023-09-09,55.8,2.6,t
80,Converse Basketball Ultra,Converse,Basketball,Black,Unisex,2772000.0,50,4.9,267,Clearance,2023-06-14,4.9,3.3,f
81,Puma Basketball Lite,Puma,Basketball,Blue,Unisex,2667000.0,0,3.6,86,Discontinued,2020-06-01,39.8,5.0,f
82,Adidas Basketball Elite,Adidas,Basketball,Orange,Men,2951000.0,40,3.6,586,Discontinued,2022-05-21,53.0,2.7,t
83,Nike Football Ultra,Nike,Football,Black,Men,734000.0,40,4.7,680,New,2023-09-19,34.4,2.8,f
84,Nike Casual Elite,Nike,Casual,Red,Women,2954000.0,0,3.7,93,Discontinued,2020-12-24,31.0,1.3,t
85,Converse Football Pro,Converse,Football,Grey,Men,2753000.0,20,3.6,79,Regular,2023-09-13,20.2,2.5,t
86,Nike Badminton Classic,Nike,Badminton,Orange,Men,1120000.0,0,4.7,587,Regular,2022-05-27,65.0,1.9,t
87,Adidas Running Classic,Adidas,Running,Grey,Men,2751000.0,10,3.5,301,Discontinued,2023-11-13,44.9,3.5,t
88,Adidas Badminton Elite,Adidas,Badminton,Purple,Men,1131000.0,30,3.7,408,New,2024-05-07,70.7,4.8,t
89,Reebok Running Lite,Reebok,Running,Red,Women,1212000.0,0,4.1,549,Discontinued,2024-02-09,49.8,4.2,t
90,Reebok Running Pro,Reebok,Running,Green,Men,2135000.0,10,4.3,736,Discontinued,2023-09-06,32.4,2.1,t
91,Reebok Running Lite,Reebok,Running,Purple,Women,544000.0,0,4.9,854,Clearance,2020-07-30,52.7,2.6,t
92,Nike Sandals Lite,Nike,Sandals,Red,Women,569000.0,0,4.3,135,Discontinued,2021-03-25,75.4,1.6,t
93,Converse Badminton Elite,Converse,Badminton,Red,Men,2580000.0,10,4.2,72,Clearance,2022-10-28,84.9,2.7,t
94,Converse Sandals Pro,Converse,Sandals,Grey,Unisex,1474000.0,20,4.8,877,Clearance,2024-03-09,22.2,1.1,t
95,Nike Football Elite,Nike,Football,Purple,Women,1526000.0,30,4.8,380,Discontinued,2021-02-04,93.7,1.6,t
96,Converse Casual Pro,Converse,Casual,White,Women,2537000.0,30,4.9,758,Clearance,2022-09-05,26.0,2.9,t
97,Puma Football Pro,Puma,Football,Red,Women,576000.0,40,4.6,394,Clearance,2022-03-17,76.4,1.7,f
98,Converse Basketball Pro,Converse,Basketball,Pink,Women,541000.0,20,4.1,930,Clearance,2024-02-27,9.4,1.1,t
99,Reebok Casual Lite,Reebok,Casual,Black,Women,2488000.0,0,4.2,684,Discontinued,2022-06-05,20.0,2.3,t
100,Reebok Sandals Elite,Reebok,Sandals,Navy,Women,513000.0,50,4.7,188,Clearance,2020-02-28,76.3,4.7,t
101,Reebok Football Pro,Reebok,Football,Orange,Women,1212000.0,40,3.6,109,New,2024-10-12,85.6,2.6,t
102,Puma Basketball Ultra,Puma,Basketball,Navy,Women,880000.0,30,4.1,98,Discontinued,2023-07-14,36.7,1.8,f
103,Adidas Running Elite,Adidas,Running,Green,Women,2751000.0,30,4.0,80,New,2023-07-25,93.4,1.3,t
104,Puma Running Classic,Puma,Running,Purple,Men,2587000.0,30,4.0,270,New,2023-01-08,95.4,3.8,t
105,Puma Running Classic,Puma,Running,Green,Unisex,1367000.0,40,4.4,449,Regular,2024-02-13,49.1,4.0,f
106,Puma Tennis Pro,Puma,Tennis,Navy,Men,1410000.0,20,4.0,600,New,2022-03-26,37.5,4.5,t
107,Nike Basketball Elite,Nike,Basketball,Navy,Women,2853000.0,0,4.8,562,Clearance,2024-06-26,65.9,4.3,t
108,Nike Sandals Lite,Nike,Sandals,Grey,Men,1142000.0,30,4.1,940,New,2023-01-09,80.1,2.8,t
109,Adidas Basketball Elite,Adidas,Basketball,Black,Women,2547000.0,0,4.1,68,New,2023-07-22,67.1,3.4,t
110,Nike Football Lite,Nike,Football,Black,Men,1834000.0,0,4.0,850,Clearance,2021-09-06,1.5,2.3,t
111,Puma Football Elite,Puma,Football,Red,Women,900000.0,0,4.2,660,Clearance,2020-12-25,31.6,3.2,t
112,Adidas Tennis Ultra,Adidas,Tennis,Grey,Men,2374000.0,20,4.1,75,New,2020-10-12,56.1,3.6,f
113,Adidas Tennis Ultra,Adidas,Tennis,Black,Men,2715000.0,50,4.9,232,New,2020-02-04,77.1,1.5,f
114,Nike Tennis Pro,Nike,Tennis,Green,Men,2029000.0,0,4.4,60,Clearance,2020-04-28,10.4,4.2,t
115,Adidas Casual Ultra,Adidas,Casual,Grey,Men,1512000.0,30,4.4,344,Clearance,2024-05-06,94.4,3.8,t
116,Nike Tennis Classic,Nike,Tennis,Pink,Women,2354000.0,50,4.2,382,New,2020-01-25,76.4,1.2,t
117,Reebok Badminton Lite,Reebok,Badminton,Orange,Women,702000.0,0,4.4,297,Discontinued,2020-03-16,27.6,2.9,t
118,Reebok Badminton Elite,Reebok,Badminton,White,Unisex,1085000.0,0,5.0,129,Discontinued,2020-08-25,53.9,2.1,t
119,Nike Football Lite,Nike,Football,Grey,Women,1465000.0,0,4.3,744,Clearance,2023-10-13,1.4,1.6,f
120,Nike Badminton Lite,Nike,Badminton,Grey,Men,1723000.0,0,3.6,656,New,2024-01-20,35.0,1.2,f
121,Nike Football Lite,Nike,Football,Grey,Women,1967000.0,50,3.5,773,Discontinued,2023-12-26,49.3,2.1,t
122,Adidas Basketball Elite,Adidas,Basketball,Black,Women,2951000.0,0,4.2,842,Regular,2024-09-23,58.1,2.6,f
123,Adidas Casual Elite,Adidas,Casual,Black,Unisex,2152000.0,0,4.1,379,New,2022-10-29,62.7,4.7,t
124,Adidas Football Pro,Adidas,Football,White,Men,1679000.0,20,4.8,750,New,2024-02-22,15.5,4.0,t
125,Adidas Sandals Pro,Adidas,Sandals,Blue,Unisex,883000.0,20,4.2,975,Regular,2024-12-20,54.1,1.3,t
126,Adidas Sandals Lite,Adidas,Sandals,White,Unisex,993000.0,0,4.2,761,Discontinued,2020-02-16,8.4,4.2,f
127,Puma Football Classic,Puma,Football,White,Women,1413000.0,50,3.7,601,Regular,2021-03-23,78.8,3.2,f
128,Puma Basketball Elite,Puma,Basketball,Blue,Women,2915000.0,50,4.3,607,Discontinued,2021-12-02,36.4,3.8,t
129,Nike Badminton Elite,Nike,Badminton,Black,Unisex,2233000.0,20,4.1,687,Regular,2022-06-18,41.9,2.4,t
130,Reebok Tennis Classic,Reebok,Tennis,White,Men,711000.0,40,4.3,263,Clearance,2024-08-03,15.3,2.1,t
131,Nike Tennis Pro,Nike,Tennis,Blue,Women,1815000.0,0,4.4,936,Discontinued,2023-08-07,87.1,1.8,t
132,Nike Tennis Elite,Nike,Tennis,White,Men,2426000.0,0,3.9,466,Clearance,2022-06-27,82.4,1.3,t
133,Reebok Casual Classic,Reebok,Casual,Red,Women,2858000.0,0,4.2,342,New,2020-12-25,73.6,3.3,t
134,Reebok Tennis Lite,Reebok,Tennis,Black,Men,2118000.0,0,4.7,58,New,2020-07-21,84.7,1.6,t
135,Converse Badminton Pro,Converse,Badminton,Grey,Women,1252000.0,20,4.8,184,Discontinued,2024-12-02,53.7,3.5,t
136,Puma Basketball Lite,Puma,Basketball,Grey,Unisex,1383000.0,20,3.7,199,Regular,2022-12-11,4.3,2.4,t
137,Converse Casual Elite,Converse,Casual,Navy,Men,2772000.0,40,5.0,794,Discontinued,2021-09-28,45.7,4.7,f
138,Adidas Casual Ultra,Adidas,Casual,White,Unisex,2516000.0,40,3.6,543,New,2021-12-01,27.2,4.5,t
139,Converse Basketball Ultra,Converse,Basketball,Navy,Women,1911000.0,30,4.1,147,Clearance,2022-09-27,74.1,2.1,t
140,Nike Tennis Pro,Nike,Tennis,Orange,Men,1100000.0,40,4.4,650,Regular,2021-12-01,19.8,3.1,f
141,Converse Football Pro,Converse,Football,Red,Men,1712000.0,0,4.5,202,Clearance,2022-10-26,47.7,3.1,f
142,Nike Running Classic,Nike,Running,Pink,Unisex,1832000.0,50,4.5,215,Regular,2021-03-28,2.5,4.9,t
143,Converse Tennis Classic,Converse,Tennis,Navy,Men,787000.0,50,3.5,484,Discontinued,2023-05-15,10.6,2.1,t
144,Adidas Sandals Pro,Adidas,Sandals,White,Unisex,712000.0,0,4.8,262,Discontinued,2023-03-18,32.9,3.7,t
145,Nike Casual Lite,Nike,Casual,Grey,Unisex,2948000.0,30,5.0,690,Discontinued,2021-06-29,29.3,4.6,t
146,Adidas Running Pro,Adidas,Running,Blue,Women,883000.0,30,4.8,167,Clearance,2022-07-25,3.1,4.0,t
147,Converse Casual Pro,Converse,Casual,Black,Unisex,1444000.0,30,4.3,4,New,2020-09-11,65.0,3.9,t
148,Nike Football Lite,Nike,Football,Pink,Women,801000.0,0,3.8,790,Regular,2021-02-18,61.7,2.6,t
149,Reebok Basketball Ultra,Reebok,Basketball,Purple,Unisex,1988000.0,10,5.0,475,New,2023-12-06,16.0,3.3,t
150,Puma Badminton Elite,Puma,Badminton,Red,Unisex,971000.0,0,3.9,737,Discontinued,2020-03-05,71.4,2.1,f
151,Converse Tennis Ultra,Converse,Tennis,Green,Unisex,1855000.0,30,4.8,662,Clearance,2021-01-22,66.2,3.4,t
152,Converse Running Pro,Converse,Running,Green,Women,2279000.0,30,3.9,778,New,2023-02-10,29.3,1.1,f
153,Puma Tennis Classic,Puma,Tennis,Black,Women,1144000.0,0,4.5,211,Discontinued,2022-03-03,60.9,2.8,f
154,Nike Sandals Elite,Nike,Sandals,Navy,Men,2412000.0,40,4.7,214,New,2023-09-15,40.8,4.1,f
155,Puma Sandals Classic,Puma,Sandals,Pink,Men,2749000.0,0,4.7,738,Discontinued,2021-11-26,31.3,4.4,t
156,Converse Basketball Lite,Converse,Basketball,Grey,Men,2715000.0,30,4.4,740,Clearance,2021-04-01,13.3,4.7,t
157,Puma Running Lite,Puma,Running,Purple,Men,1847000.0,0,4.8,143,New,2021-05-20,79.3,2.4,f
158,Puma Tennis Elite,Puma,Tennis,Orange,Men,2086000.0,10,4.8,550,Discontinued,2020-08-08,9.2,3.0,t
159,Puma Football Pro,Puma,Football,Blue,Women,2702000.0,0,3.7,400,Regular,2023-06-02,72.7,1.6,f
160,Puma Casual Lite,Puma,Casual,Orange,Unisex,923000.0,20,3.8,540,Discontinued,2022-11-06,26.2,2.6,t
161,Reebok Basketball Elite,Reebok,Basketball,Purple,Unisex,1222000.0,0,4.9,331,New,2024-07-13,73.5,2.2,t
162,Adidas Sandals Elite,Adidas,Sandals,Red,Women,2487000.0,20,4.5,713,Discontinued,2021-10-25,8.9,1.2,t
163,Converse Football Pro,Converse,Football,Grey,Women,2774000.0,50,4.3,335,Discontinued,2022-07-06,71.3,1.9,t
164,Puma Basketball Ultra,Puma,Basketball,White,Women,2314000.0,0,4.9,10,Clearance,2023-03-03,23.3,4.7,t
165,Adidas Tennis Elite,Adidas,Tennis,Grey,Women,1153000.0,50,3.7,182,Regular,2024-10-30,21.9,4.0,t
166,Nike Tennis Classic,Nike,Tennis,Green,Women,969000.0,20,4.4,617,Regular,2024-08-20,97.9,2.4,t
167,Puma Basketball Elite,Puma,Basketball,Blue,Unisex,2206000.0,10,4.2,951,Clearance,2024-11-03,73.4,1.5,t
168,Puma Badminton Pro,Puma,Badminton,Purple,Unisex,510000.0,40,4.0,450,Discontinued,2020-11-24,1.2,4.3,t
169,Adidas Casual Elite,Adidas,Casual,White,Unisex,2208000.0,0,4.3,48,New,2020-12-13,53.2,2.9,t
170,Puma Football Elite,Puma,Football,White,Unisex,896000.0,0,4.3,292,Regular,2023-06-02,67.7,4.4,f
171,Converse Basketball Classic,Converse,Basketball,Navy,Unisex,975000.0,30,4.6,598,New,2020-08-14,2.3,3.1,t
172,Nike Tennis Elite,Nike,Tennis,Pink,Unisex,2186000.0,0,4.8,73,Discontinued,2021-03-22,73.8,2.3,f
173,Puma Casual Pro,Puma,Casual,Grey,Unisex,854000.0,10,4.1,415,Discontinued,2024-07-14,32.2,4.9,f
174,Reebok Football Classic,Reebok,Football,Blue,Unisex,2872000.0,50,4.9,556,New,2024-06-29,98.5,3.1,f
175,Reebok Football Elite,Reebok,Football,Purple,Men,1110000.0,0,4.4,521,Regular,2020-06-24,77.3,3.7,t
176,Reebok Running Elite,Reebok,Running,Green,Men,2707000.0,40,4.3,334,New,2024-02-28,21.4,4.2,t
177,Nike Badminton Pro,Nike,Badminton,Purple,Women,858000.0,0,3.8,915,Discontinued,2021-01-10,33.6,1.6,t
178,Converse Basketball Lite,Converse,Basketball,Grey,Unisex,969000.0,30,3.6,919,New,2021-08-02,13.9,4.7,t
179,Adidas Badminton Pro,Adidas,Badminton,Orange,Women,2879000.0,40,4.9,644,Clearance,2020-06-15,48.6,1.6,t
180,Converse Casual Ultra,Converse,Casual,Green,Unisex,2206000.0,40,3.5,692,New,2020-11-15,37.5,2.0,f
181,Converse Football Pro,Converse,Football,Pink,Unisex,1098000.0,50,4.5,561,New,2024-07-02,20.1,1.6,t
182,Converse Football Lite,Converse,Football,Grey,Unisex,512000.0,10,4.6,228,Discontinued,2021-04-11,48.8,3.1,t
183,Puma Football Ultra,Puma,Football,White,Unisex,784000.0,50,4.1,979,Regular,2023-04-15,18.0,2.2,f
184,Reebok Casual Pro,Reebok,Casual,Pink,Men,2296000.0,10,4.8,329,Discontinued,2024-08-06,65.9,4.7,t
185,Adidas Casual Classic,Adidas,Casual,Orange,Men,2569000.0,50,4.0,453,Clearance,2022-12-11,26.6,1.9,t
186,Reebok Casual Elite,Reebok,Casual,Pink,Unisex,1801000.0,10,4.4,383,Discontinued,2022-12-24,88.9,2.7,t
187,Adidas Badminton Ultra,Adidas,Badminton,Pink,Unisex,1894000.0,0,3.5,658,Discontinued,2022-05-26,73.8,2.9,t
188,Reebok Tennis Lite,Reebok,Tennis,Black,Unisex,2433000.0,10,4.6,554,New,2022-02-10,54.9,4.0,t
189,Nike Football Elite,Nike,Football,Grey,Unisex,2979000.0,50,4.9,557,New,2023-01-07,47.5,2.8,f
190,Reebok Badminton Lite,Reebok,Badminton,Green,Unisex,2365000.0,0,4.2,847,Clearance,2021-04-20,41.7,1.3,f
191,Converse Badminton Lite,Converse,Badminton,Grey,Women,2319000.0,10,3.7,909,New,2022-02-19,68.4,1.6,t
192,Reebok Tennis Elite,Reebok,Tennis,Black,Unisex,2376000.0,10,4.1,961,New,2022-01-17,12.6,4.5,t
193,Nike Sandals Ultra,Nike,Sandals,Purple,Men,1221000.0,40,4.7,182,New,2021-04-17,62.0,2.3,t
194,Reebok Basketball Classic,Reebok,Basketball,Navy,Unisex,1562000.0,30,4.1,371,Regular,2021-03-11,55.2,1.6,t
195,Reebok Running Ultra,Reebok,Running,Orange,Women,1874000.0,0,3.8,61,Regular,2023-09-22,10.8,3.4,t
196,Converse Sandals Pro,Converse,Sandals,Green,Unisex,1098000.0,0,4.3,929,Discontinued,2022-03-25,55.6,2.0,t
197,Reebok Badminton Ultra,Reebok,Badminton,Red,Men,1098000.0,0,4.5,516,New,2022-01-31,69.0,1.6,f
198,Puma Sandals Ultra,Puma,Sandals,Navy,Women,972000.0,30,4.4,33,Regular,2020-06-14,92.2,2.0,t
199,Puma Football Elite,Puma,Football,Pink,Unisex,2136000.0,50,4.2,585,New,2023-04-24,6.4,3.8,f
200,Nike Basketball Elite,Nike,Basketball,Black,Unisex,2865000.0,0,4.2,119,Clearance,2021-05-15,72.4,3.2,t
201,Adidas Casual Elite,Adidas,Casual,Grey,Men,2879000.0,20,4.6,532,New,2020-12-11,62.5,4.7,f
202,Puma Basketball Ultra,Puma,Basketball,Blue,Women,1031000.0,40,4.2,464,Discontinued,2024-05-29,43.7,1.5,f
203,Puma Football Lite,Puma,Football,Red,Men,2599000.0,10,4.4,155,Discontinued,2022-02-01,85.1,2.1,t
204,Reebok Sandals Pro,Reebok,Sandals,White,Men,1237000.0,40,4.3,308,New,2022-10-06,88.6,3.1,t
205,Puma Football Classic,Puma,Football,Navy,Women,1927000.0,40,3.7,401,New,2021-12-31,36.7,1.3,f
206,Converse Football Lite,Converse,Football,Grey,Women,2546000.0,10,4.9,133,Regular,2021-04-01,2.7,2.6,t
207,Reebok Casual Pro,Reebok,Casual,Blue,Men,924000.0,0,3.5,51,Regular,2021-06-20,80.6,1.0,t
208,Converse Sandals Elite,Converse,Sandals,Blue,Men,2412000.0,30,4.6,926,Regular,2021-07-03,12.9,3.8,t
209,Puma Sandals Pro,Puma,Sandals,Purple,Women,2513000.0,0,4.7,531,Discontinued,2021-08-14,70.7,1.1,t
210,Reebok Sandals Classic,Reebok,Sandals,White,Men,2983000.0,0,4.4,826,Discontinued,2022-02-21,19.1,4.8,t
211,Nike Running Classic,Nike,Running,Red,Men,1251000.0,0,4.0,243,Regular,2023-05-19,11.5,4.5,t
212,Nike Sandals Lite,Nike,Sandals,Purple,Men,1765000.0,0,4.3,227,Clearance,2020-01-09,23.0,1.7,t
213,Converse Badminton Pro,Converse,Badminton,Green,Men,2413000.0,50,4.8,831,New,2023-01-19,51.9,1.5,t
214,Nike Badminton Ultra,Nike,Badminton,Navy,Women,806000.0,10,3.6,685,New,2024-05-25,73.9,2.8,t
215,Adidas Basketball Ultra,Adidas,Basketball,Blue,Unisex,1482000.0,0,4.1,919,Clearance,2023-01-06,35.5,1.2,t
216,Puma Casual Lite,Puma,Casual,Grey,Men,2705000.0,30,3.9,43,Discontinued,2020-07-15,72.2,3.4,t
217,Converse Basketball Ultra,Converse,Basketball,Navy,Women,960000.0,0,3.6,255,Clearance,2021-09-03,92.5,4.4,f
218,Adidas Basketball Lite,Adidas,Basketball,Pink,Unisex,989000.0,20,3.6,794,Clearance,2022-09-21,55.0,4.9,f
