product_id,product_name,brand,subcategory,color,gender_orientation,price,discount,rating,number_of_reviews,product_lifecycle_status,launch_date,trending_score,sustainability_rating,size_availability,terjual,care_instructions,origin,sole_material,upper_material
29,Converse Sandals Elite,Converse,Sandals,Blue,Women,1206000.0,0,4.3,759,Regular,2024-08-29,88.8,4.8,f,4491,Air dry only,Thailand,Rubber,Synthetic
30,Adidas Casual Elite,Adidas,Casual,Green,Women,506000.0,0,3.8,437,Regular,2020-09-12,59.5,4.5,t,1973,Do not bleach,Thailand,Leather,Knit
31,Nike Football Elite,Nike,Football,White,Women,2900000.0,10,4.9,196,Discontinued,2021-01-29,54.7,4.0,t,3975,Air dry only,Thailand,EVA,Canvas
32,Converse Badminton Elite,Converse,Badminton,Grey,Men,631000.0,50,3.7,340,Regular,2024-01-07,40.4,3.7,t,3871,Machine wash cold,Indonesia,Leather,Leather
33,Reebok Badminton Pro,Reebok,Badminton,Red,Unisex,2309000.0,10,4.1,62,Discontinued,2021-08-17,65.5,2.5,f,760,Machine wash cold,Thailand,Leather,Suede
34,Converse Running Lite,Converse,Running,Orange,Men,1172000.0,50,3.9,828,New,2023-07-20,35.6,1.4,t,921,Do not bleach,Thailand,Leather,Canvas
35,Puma Football Classic,Puma,Football,Black,Women,2187000.0,20,4.7,869,Regular,2023-07-23,90.8,1.0,f,4862,Do not bleach,Indonesia,TPU,Suede
36,Adidas Casual Classic,Adidas,Casual,Green,Unisex,2075000.0,20,4.1,789,New,2022-12-01,24.3,1.7,f,1925,Wipe with damp cloth,Malaysia,Rubber,Suede
37,Puma Casual Ultra,Puma,Casual,Purple,Men,2320000.0,10,3.9,32,Discontinued,2021-04-24,47.8,4.5,t,1409,Air dry only,Indonesia,Rubber,Synthetic
38,Nike Sandals Pro,Nike,Sandals,White,Men,556000.0,0,4.4,253,New,2024-04-18,23.6,4.3,t,626,Machine wash cold,Indonesia,TPU,Mesh
39,Puma Casual Elite,Puma,Casual,Pink,Men,1938000.0,40,4.8,679,Discontinued,2024-03-29,31.9,1.5,f,1717,Do not bleach,Thailand,Phylon,Synthetic
40,Nike Football Elite,Nike,Football,Orange,Unisex,1535000.0,20,4.5,886,Regular,2023-10-14,22.5,3.4,t,1523,Hand wash only,Indonesia,Phylon,Nylon
41,Reebok Badminton Classic,Reebok,Badminton,White,Men,1471000.0,0,4.5,485,New,2024-12-13,5.6,4.4,t,2571,Wipe with damp cloth,Vietnam,TPU,Synthetic
42,Converse Badminton Elite,Converse,Badminton,Purple,Men,2080000.0,40,4.4,596,Discontinued,2024-05-22,73.1,2.0,t,1635,Air dry only,Vietnam,Phylon,Canvas
43,Nike Football Ultra,Nike,Football,Black,Men,1782000.0,10,4.6,984,Clearance,2022-10-15,83.3,2.2,t,3218,Machine wash cold,Vietnam,Phylon,Synthetic
44,Puma Basketball Classic,Puma,Basketball,Navy,Men,2522000.0,20,4.9,789,New,2022-05-30,19.6,3.5,t,458,Wipe with damp cloth,China,EVA,Mesh
45,Adidas Running Classic,Adidas,Running,Purple,Women,777000.0,50,4.5,226,Clearance,2020-08-10,50.6,2.4,f,2830,Wipe with damp cloth,China,Rubber,Canvas
46,Reebok Basketball Pro,Reebok,Basketball,Purple,Men,1557000.0,0,3.7,411,New,2021-06-09,17.3,2.0,t,3786,Wipe with damp cloth,Vietnam,EVA,Synthetic
47,Converse Sandals Lite,Converse,Sandals,Green,Men,2946000.0,0,4.6,274,Clearance,2021-07-24,40.5,3.4,t,3479,Air dry only,Indonesia,Phylon,Knit
48,Reebok Badminton Elite,Reebok,Badminton,Black,Women,1058000.0,0,3.9,440,New,2021-03-29,59.1,3.1,f,3820,Wipe with damp cloth,Indonesia,Rubber,Suede
49,Reebok Basketball Lite,Reebok,Basketball,Red,Women,2301000.0,10,4.5,25,Regular,2023-08-27,2.8,1.5,f,4424,Do not bleach,Vietnam,Rubber,Knit
50,Converse Tennis Classic,Converse,Tennis,Red,Men,2115000.0,30,4.9,648,Discontinued,2025-01-08,45.6,1.1,t,3306,Hand wash only,Indonesia,Leather,Knit
51,Adidas Badminton Ultra,Adidas,Badminton,Navy,Unisex,2011000.0,10,4.5,921,Discontinued,2020-07-26,11.9,4.2,f,273,Do not bleach,Vietnam,Rubber,Synthetic
52,Puma Running Ultra,Puma,Running,Green,Unisex,834000.0,10,3.5,821,New,2021-02-04,51.4,4.6,f,634,Machine wash cold,Malaysia,Leather,Nylon
53,Reebok Running Classic,Reebok,Running,Black,Unisex,2099000.0,20,4.6,987,Clearance,2022-09-03,67.7,2.1,t,4224,Do not bleach,Thailand,Rubber,Mesh
54,Converse Football Lite,Converse,Football,Pink,Unisex,2923000.0,0,3.7,709,Discontinued,2020-06-30,79.6,4.2,t,4320,Air dry only,Vietnam,EVA,Synthetic
55,Adidas Sandals Classic,Adidas,Sandals,Black,Women,2013000.0,0,3.9,578,New,2024-12-20,9.6,3.7,t,3382,Wipe with damp cloth,Indonesia,EVA,Canvas
56,Converse Tennis Elite,Converse,Tennis,Black,Women,2480000.0,40,3.7,210,Regular,2022-06-06,5.2,4.2,t,4192,Hand wash only,China,Phylon,Synthetic
57,Puma Running Pro,Puma,Running,White,Unisex,2195000.0,0,4.5,831,Clearance,2023-07-16,25.5,2.0,t,2225,Do not bleach,Indonesia,EVA,Knit
58,Reebok Badminton Elite,Reebok,Badminton,Red,Women,1059000.0,40,4.6,842,Discontinued,2020-06-30,75.8,1.3,t,1185,Hand wash only,Vietnam,TPU,Knit
59,Nike Tennis Lite,Nike,Tennis,Green,Women,1611000.0,0,3.9,389,Regular,2020-08-07,67.5,3.2,t,2986,Hand wash only,Thailand,Rubber,Nylon
60,Adidas Badminton Elite,Adidas,Badminton,Pink,Women,1158000.0,20,3.6,27,Discontinued,2023-06-04,26.5,4.5,t,3773,Machine wash cold,Thailand,EVA,Mesh
61,Reebok Casual Elite,Reebok,Casual,Orange,Unisex,1461000.0,0,4.4,84,Discontinued,2020-09-21,87.4,2.4,t,4612,Do not bleach,Thailand,Leather,Leather
62,Nike Sandals Lite,Nike,Sandals,Green,Women,821000.0,10,4.2,146,New,2021-10-07,63.8,1.5,t,939,Do not bleach,Indonesia,Leather,Mesh
63,Adidas Running Classic,Adidas,Running,Red,Unisex,689000.0,30,4.9,338,New,2023-09-17,81.2,2.8,t,707,Machine wash cold,Malaysia,Phylon,Suede
64,Nike Badminton Lite,Nike,Badminton,Red,Men,1559000.0,0,4.8,542,Clearance,2020-12-16,1.8,3.6,t,2619,Machine wash cold,Indonesia,Rubber,Knit
65,Puma Casual Classic,Puma,Casual,White,Women,2345000.0,0,3.5,518,Clearance,2021-08-23,3.2,2.8,f,3947,Wipe with damp cloth,China,Phylon,Mesh
66,Converse Basketball Ultra,Converse,Basketball,Grey,Unisex,1411000.0,30,4.0,397,Clearance,2020-08-19,66.9,4.6,t,3746,Do not bleach,Indonesia,Rubber,Synthetic
67,Nike Football Lite,Nike,Football,White,Men,827000.0,10,4.9,567,Clearance,2020-10-05,83.1,2.7,f,281,Do not bleach,Thailand,EVA,Synthetic
68,Nike Sandals Classic,Nike,Sandals,Orange,Men,1180000.0,0,3.6,694,Discontinued,2021-08-16,78.0,1.5,f,4683,Do not bleach,Vietnam,Leather,Synthetic
69,Puma Football Classic,Puma,Football,White,Men,1980000.0,0,3.7,291,Clearance,2022-03-17,53.9,2.4,f,485,Hand wash only,Vietnam,EVA,Nylon
70,Puma Football Classic,Puma,Football,Red,Women,918000.0,10,4.7,453,Regular,2023-10-11,42.1,4.8,t,1928,Machine wash cold,China,Leather,Suede
71,Puma Football Lite,Puma,Football,Pink,Women,2178000.0,20,4.5,934,Regular,2024-03-14,58.3,4.8,t,1268,Air dry only,Malaysia,EVA,Knit
72,Adidas Tennis Lite,Adidas,Tennis,Navy,Women,1444000.0,20,4.8,722,New,2022-02-28,70.8,3.2,t,1248,Machine wash cold,Vietnam,TPU,Synthetic
73,Nike Running Ultra,Nike,Running,Red,Unisex,1950000.0,0,3.6,783,Discontinued,2022-02-18,41.4,1.1,t,1120,Do not bleach,Thailand,Phylon,Synthetic
74,Converse Badminton Pro,Converse,Badminton,Blue,Women,1969000.0,0,4.4,242,New,2022-03-28,64.8,4.0,t,605,Hand wash only,Malaysia,Phylon,Mesh
75,Puma Tennis Ultra,Puma,Tennis,Navy,Women,2236000.0,0,3.8,177,Clearance,2024-03-24,53.6,2.5,f,1033,Air dry only,Malaysia,Leather,Suede
76,Nike Basketball Lite,Nike,Basketball,Grey,Unisex,2409000.0,0,4.4,308,Clearance,2024-09-02,82.2,2.9,t,3509,Air dry only,China,Rubber,Canvas
77,Adidas Sandals Pro,Adidas,Sandals,Red,Men,2394000.0,30,4.5,151,Regular,2020-05-28,43.6,4.4,f,2682,Air dry only,Thailand,Rubber,Synthetic
78,Converse Running Elite,Converse,Running,Pink,Women,2971000.0,0,5.0,224,Clearance,2023-09-02,0.0,3.9,f,3524,Air dry only,Malaysia,Rubber,Nylon
79,Adidas Basketball Ultra,Adidas,Basketball,Navy,Unisex,877000.0,10,3.9,870,New,2023-08-17,92.6,1.8,t,1675,Air dry only,Thailand,EVA,Mesh
80,Reebok Sandals Classic,Reebok,Sandals,Grey,Women,2410000.0,20,4.4,567,Clearance,2022-09-30,37.8,3.8,t,2382,Air dry only,Indonesia,Leather,Canvas
81,Adidas Tennis Lite,Adidas,Tennis,Grey,Women,1521000.0,0,4.8,738,Clearance,2020-04-30,19.1,1.5,t,1613,Air dry only,Indonesia,EVA,Synthetic
82,Reebok Football Lite,Reebok,Football,Grey,Women,1726000.0,0,4.1,181,Clearance,2024-05-29,92.0,1.6,t,4543,Air dry only,Thailand,Phylon,Synthetic
83,Puma Running Ultra,Puma,Running,Navy,Women,1047000.0,50,4.5,115,Clearance,2023-12-19,18.8,3.4,t,4315,Machine wash cold,Thailand,Leather,Nylon
84,Puma Casual Ultra,Puma,Casual,Purple,Men,2819000.0,0,4.8,471,New,2021-08-25,33.9,4.8,t,3947,Machine wash cold,Vietnam,EVA,Knit
85,Puma Running Lite,Puma,Running,Black,Men,1420000.0,0,3.8,129,Regular,2022-12-03,4.8,4.1,t,1368,Machine wash cold,China,Leather,Nylon
86,Converse Sandals Lite,Converse,Sandals,Grey,Unisex,2127000.0,0,4.1,207,New,2023-04-01,10.5,1.5,t,2390,Do not bleach,Vietnam,Leather,Leather
87,Puma Casual Lite,Puma,Casual,Pink,Unisex,1253000.0,20,4.9,588,Discontinued,2020-06-03,60.5,2.2,t,3306,Do not bleach,Thailand,EVA,Canvas
88,Nike Football Classic,Nike,Football,Grey,Women,2474000.0,0,4.7,701,New,2023-02-22,48.1,1.1,t,4472,Air dry only,Indonesia,TPU,Suede
89,Nike Football Elite,Nike,Football,Purple,Unisex,1199000.0,0,5.0,444,Regular,2023-06-09,34.1,2.3,f,1940,Wipe with damp cloth,Malaysia,Phylon,Suede
90,Nike Tennis Classic,Nike,Tennis,Blue,Unisex,608000.0,10,3.9,499,Regular,2023-01-24,15.1,1.8,t,1934,Air dry only,China,EVA,Leather
91,Nike Running Lite,Nike,Running,Blue,Women,2927000.0,50,4.8,755,Regular,2020-04-28,63.9,1.6,f,4110,Wipe with damp cloth,China,Rubber,Mesh
92,Reebok Running Ultra,Reebok,Running,Blue,Men,2569000.0,10,4.0,453,New,2020-06-21,84.0,2.5,f,1131,Hand wash only,Indonesia,Rubber,Nylon
93,Nike Tennis Ultra,Nike,Tennis,Grey,Unisex,869000.0,0,4.1,369,Regular,2022-10-26,49.7,1.9,t,600,Air dry only,Indonesia,TPU,Canvas
94,Converse Casual Pro,Converse,Casual,Grey,Women,1686000.0,50,4.0,617,Regular,2022-05-13,89.9,3.4,t,3840,Hand wash only,Indonesia,Leather,Knit
95,Puma Basketball Lite,Puma,Basketball,Grey,Unisex,917000.0,10,5.0,83,New,2024-11-18,68.2,4.1,t,2030,Air dry only,Thailand,Leather,Canvas
96,Adidas Football Pro,Adidas,Football,Red,Men,830000.0,40,3.6,907,Discontinued,2021-04-09,60.1,4.3,f,1941,Machine wash cold,Vietnam,Rubber,Canvas
97,Nike Tennis Ultra,Nike,Tennis,Purple,Men,2907000.0,40,4.3,425,Clearance,2023-05-03,88.7,3.2,f,3018,Hand wash only,Indonesia,Leather,Synthetic
98,Nike Tennis Lite,Nike,Tennis,Blue,Unisex,2842000.0,50,4.4,656,Regular,2021-06-23,25.3,1.8,t,3790,Air dry only,Thailand,Rubber,Suede
99,Converse Football Lite,Converse,Football,Blue,Women,1218000.0,30,3.6,526,New,2020-02-10,98.8,1.3,t,59,Air dry only,Indonesia,Rubber,Canvas
100,Reebok Basketball Ultra,Reebok,Basketball,Blue,Women,968000.0,20,3.5,371,New,2022-09-10,46.1,4.5,t,706,Do not bleach,Indonesia,TPU,Suede
101,Nike Tennis Pro,Nike,Tennis,Pink,Men,1535000.0,0,4.8,423,Clearance,2021-12-02,64.2,1.1,t,1773,Air dry only,Vietnam,TPU,Suede
102,Reebok Football Lite,Reebok,Football,Blue,Unisex,2918000.0,50,3.9,315,New,2023-08-07,10.6,3.2,t,3495,Do not bleach,Vietnam,EVA,Nylon
103,Nike Sandals Ultra,Nike,Sandals,Purple,Unisex,844000.0,20,4.8,59,Discontinued,2021-05-28,11.5,4.7,t,4819,Hand wash only,Vietnam,EVA,Canvas
104,Adidas Basketball Ultra,Adidas,Basketball,Navy,Women,1260000.0,0,3.9,1,Regular,2021-04-10,36.0,1.2,t,108,Wipe with damp cloth,Indonesia,Phylon,Synthetic
105,Puma Running Ultra,Puma,Running,Black,Women,598000.0,20,4.6,740,Discontinued,2023-08-03,95.1,2.9,f,2847,Machine wash cold,Thailand,Leather,Canvas
106,Nike Tennis Lite,Nike,Tennis,Navy,Men,1549000.0,20,4.1,88,New,2023-11-02,22.5,2.9,f,4787,Do not bleach,Thailand,Rubber,Leather
107,Adidas Badminton Lite,Adidas,Badminton,Blue,Women,830000.0,30,3.9,353,Clearance,2023-01-05,8.2,1.3,t,2316,Air dry only,Indonesia,TPU,Synthetic
108,Nike Running Elite,Nike,Running,Pink,Women,2647000.0,30,3.8,330,Discontinued,2024-01-23,51.3,4.4,t,139,Machine wash cold,Malaysia,Leather,Synthetic
109,Converse Tennis Pro,Converse,Tennis,Navy,Women,1158000.0,10,3.7,908,Clearance,2023-09-22,62.2,4.4,f,3773,Wipe with damp cloth,Indonesia,Phylon,Leather
110,Adidas Badminton Pro,Adidas,Badminton,Green,Men,758000.0,40,4.9,131,Discontinued,2021-02-10,61.6,3.8,t,3782,Hand wash only,Thailand,TPU,Synthetic
111,Converse Football Lite,Converse,Football,Red,Men,539000.0,40,4.7,955,New,2023-09-19,14.4,1.3,t,984,Air dry only,China,EVA,Canvas
112,Nike Basketball Elite,Nike,Basketball,Grey,Unisex,2792000.0,50,4.6,876,New,2024-04-20,34.3,2.4,t,4889,Wipe with damp cloth,Malaysia,TPU,Leather
113,Converse Football Classic,Converse,Football,Black,Unisex,693000.0,30,3.8,811,Clearance,2020-04-10,32.3,3.5,t,4585,Hand wash only,Indonesia,Rubber,Canvas
114,Reebok Running Elite,Reebok,Running,Pink,Women,1055000.0,40,3.7,577,New,2024-06-18,64.3,3.2,t,4978,Machine wash cold,Vietnam,Rubber,Nylon
115,Converse Sandals Pro,Converse,Sandals,White,Unisex,1141000.0,30,4.7,979,Discontinued,2023-11-15,0.5,4.1,t,1611,Hand wash only,Vietnam,Leather,Nylon
116,Puma Running Classic,Puma,Running,Black,Unisex,2573000.0,0,4.1,301,Regular,2022-06-13,72.2,3.4,f,996,Air dry only,Thailand,EVA,Leather
117,Converse Badminton Pro,Converse,Badminton,Pink,Unisex,2332000.0,40,3.6,475,Clearance,2024-02-19,83.7,3.2,t,3334,Do not bleach,Thailand,Leather,Suede
118,Nike Football Ultra,Nike,Football,Purple,Men,1706000.0,30,4.6,48,New,2021-02-10,21.4,1.3,t,216,Wipe with damp cloth,China,Leather,Mesh
119,Puma Football Pro,Puma,Football,Pink,Men,1203000.0,40,4.8,420,Regular,2024-06-11,76.2,3.0,t,4779,Wipe with damp cloth,Indonesia,Phylon,Nylon
120,Adidas Casual Lite,Adidas,Casual,Grey,Men,705000.0,0,5.0,157,Regular,2022-05-24,39.8,4.8,t,1828,Hand wash only,Vietnam,Leather,Synthetic
121,Reebok Running Elite,Reebok,Running,White,Men,2988000.0,20,4.3,181,New,2024-08-04,13.9,3.7,t,4669,Air dry only,Vietnam,Leather,Mesh
122,Adidas Football Elite,Adidas,Football,White,Women,1924000.0,10,4.9,943,New,2022-10-20,34.4,4.9,t,513,Hand wash only,Malaysia,Leather,Leather
123,Reebok Badminton Classic,Reebok,Badminton,Blue,Women,790000.0,30,5.0,733,Discontinued,2021-07-17,90.0,3.7,t,4891,Machine wash cold,Malaysia,TPU,Nylon
124,Nike Sandals Lite,Nike,Sandals,White,Women,890000.0,40,4.3,869,Clearance,2021-08-11,36.7,4.1,f,2620,Do not bleach,Malaysia,EVA,Canvas
125,Reebok Tennis Elite,Reebok,Tennis,Purple,Unisex,2428000.0,40,4.0,327,Clearance,2020-10-24,28.1,1.4,f,2053,Wipe with damp cloth,Thailand,TPU,Nylon
126,Adidas Tennis Elite,Adidas,Tennis,Red,Unisex,1579000.0,0,4.9,24,Regular,2023-06-30,67.5,3.1,t,2669,Machine wash cold,Vietnam,EVA,Synthetic
127,Nike Sandals Classic,Nike,Sandals,White,Men,714000.0,0,4.9,889,Clearance,2021-01-23,71.1,3.5,t,1183,Do not bleach,Thailand,Rubber,Synthetic
128,Converse Running Elite,Converse,Running,Blue,Unisex,2482000.0,0,3.7,901,Clearance,2024-12-25,35.1,4.4,t,2264,Machine wash cold,Vietnam,Leather,Nylon
129,Converse Sandals Elite,Converse,Sandals,Red,Women,1967000.0,0,4.7,327,Discontinued,2022-07-19,89.9,3.9,t,646,Air dry only,China,EVA,Knit
130,Puma Tennis Pro,Puma,Tennis,Red,Men,2599000.0,0,4.4,88,Discontinued,2024-12-30,79.9,4.4,t,2547,Hand wash only,Malaysia,EVA,Leather
131,Nike Football Ultra,Nike,Football,Navy,Women,2871000.0,10,4.5,126,Clearance,2020-03-26,5.0,1.4,f,4080,Do not bleach,Thailand,Rubber,Canvas
132,Nike Basketball Pro,Nike,Basketball,Navy,Women,1519000.0,10,4.1,174,New,2022-08-31,58.0,3.7,f,4885,Do not bleach,Thailand,TPU,Knit
133,Adidas Tennis Elite,Adidas,Tennis,Red,Men,2474000.0,0,4.4,460,Clearance,2021-12-06,9.6,3.4,f,674,Air dry only,Malaysia,Leather,Synthetic
134,Adidas Sandals Lite,Adidas,Sandals,White,Women,1554000.0,0,4.9,191,Regular,2022-09-22,11.7,1.5,t,4084,Do not bleach,China,TPU,Nylon
135,Converse Badminton Ultra,Converse,Badminton,Navy,Men,2161000.0,10,4.9,396,New,2020-05-10,93.3,2.1,t,4678,Wipe with damp cloth,Vietnam,TPU,Nylon
136,Converse Tennis Lite,Converse,Tennis,Pink,Women,1025000.0,10,4.1,38,Regular,2020-11-30,66.1,3.3,t,642,Machine wash cold,Vietnam,TPU,Nylon
137,Puma Badminton Elite,Puma,Badminton,Purple,Men,1292000.0,20,4.8,420,Discontinued,2020-02-13,56.9,4.4,f,4346,Do not bleach,Thailand,Phylon,Leather
138,Adidas Football Pro,Adidas,Football,Purple,Men,2886000.0,0,3.8,242,Regular,2020-09-06,14.7,3.1,f,1743,Air dry only,China,Leather,Nylon
139,Puma Badminton Classic,Puma,Badminton,Green,Men,2462000.0,30,4.4,932,Regular,2021-06-02,17.3,3.2,t,2666,Wipe with damp cloth,Malaysia,TPU,Leather
140,Reebok Running Lite,Reebok,Running,Red,Women,1576000.0,30,4.4,842,New,2020-05-05,89.9,3.9,t,3633,Machine wash cold,Malaysia,Rubber,Synthetic
141,Puma Running Lite,Puma,Running,Pink,Women,2247000.0,40,4.7,615,Discontinued,2021-03-19,96.2,2.8,t,4209,Machine wash cold,Thailand,EVA,Canvas
142,Nike Basketball Ultra,Nike,Basketball,Black,Men,1202000.0,20,4.6,739,New,2022-02-27,19.3,4.1,t,2663,Hand wash only,Thailand,Rubber,Synthetic
143,Reebok Casual Lite,Reebok,Casual,Grey,Women,2590000.0,0,4.3,934,Discontinued,2022-12-21,41.9,5.0,t,3877,Do not bleach,Vietnam,Leather,Synthetic
144,Puma Tennis Elite,Puma,Tennis,Grey,Women,2056000.0,50,4.8,818,Discontinued,2023-01-01,91.6,3.3,t,4744,Wipe with damp cloth,Thailand,TPU,Mesh
145,Puma Basketball Elite,Puma,Basketball,Navy,Women,2018000.0,10,3.6,355,Discontinued,2023-03-30,99.6,2.8,f,4221,Hand wash only,Malaysia,Rubber,Leather
146,Reebok Tennis Classic,Reebok,Tennis,Navy,Unisex,2229000.0,10,4.7,683,New,2022-12-28,82.0,3.1,t,4746,Do not bleach,China,Rubber,Canvas
147,Reebok Tennis Pro,Reebok,Tennis,Blue,Women,2643000.0,10,4.8,661,Regular,2022-07-20,63.8,2.6,f,4051,Air dry only,Thailand,Leather,Leather
148,Nike Tennis Pro,Nike,Tennis,Orange,Unisex,983000.0,20,4.4,341,New,2020-12-29,73.9,2.2,t,1522,Hand wash only,Indonesia,Rubber,Mesh
149,Puma Football Pro,Puma,Football,Pink,Women,2457000.0,30,3.7,543,Clearance,2021-05-18,8.1,4.7,t,421,Do not bleach,Malaysia,Phylon,Canvas
150,Nike Tennis Lite,Nike,Tennis,Blue,Men,2214000.0,20,4.8,580,Clearance,2024-04-30,60.2,1.3,t,377,Air dry only,Vietnam,Phylon,Leather
151,Converse Casual Pro,Converse,Casual,Pink,Unisex,2385000.0,10,3.8,450,Clearance,2023-06-07,47.3,2.8,t,3140,Machine wash cold,Malaysia,TPU,Knit
152,Reebok Badminton Classic,Reebok,Badminton,Pink,Unisex,1253000.0,20,4.6,189,New,2023-02-25,67.3,3.9,t,4405,Do not bleach,Indonesia,EVA,Mesh
153,Reebok Sandals Pro,Reebok,Sandals,Green,Women,1684000.0,10,4.8,715,Discontinued,2024-02-20,85.0,4.8,f,1329,Do not bleach,Thailand,Phylon,Mesh
154,Puma Tennis Lite,Puma,Tennis,Orange,Unisex,1044000.0,0,3.5,324,Discontinued,2020-04-10,5.2,4.1,f,904,Wipe with damp cloth,China,Leather,Synthetic
155,Adidas Sandals Elite,Adidas,Sandals,Blue,Unisex,1316000.0,30,4.7,824,New,2023-06-29,38.8,3.6,f,2601,Wipe with damp cloth,Indonesia,TPU,Knit
156,Adidas Badminton Pro,Adidas,Badminton,Green,Men,1015000.0,30,4.1,954,Regular,2021-11-11,82.7,3.3,f,2574,Do not bleach,Indonesia,EVA,Leather
