campaign_id,name_campaign,budget,reach,start_date,end_date,category,format_type,platform,product_id,target_engagement
40,Streamlined zero-defect functionalities,358600000.0,216243,2025-06-17,2025-10-22,Conversion,Image,TikTok,145,67373
41,De-engineered uniform focus group,311800000.0,717529,2024-07-19,2024-08-02,Consideration,Image,Instagram,40,84103
42,Assimilated clear-thinking artificial intelligence,417000000.0,716824,2025-10-17,2026-01-22,Consideration,Carousel,TikTok,118,24314
43,Cross-platform well-modulated benchmark,444900000.0,296959,2025-04-27,2025-09-29,Awareness,Story,Instagram,52,82355
44,Digitized non-volatile conglomeration,482000000.0,421148,2024-06-30,2024-09-08,Consideration,Carousel,Instagram,194,41060
45,Assimilated zero tolerance website,84900000.0,883591,2025-09-26,2025-10-19,Conversion,Video,Instagram,15,40697
46,Mandatory maximized conglomeration,434600000.0,866989,2024-05-05,2024-10-30,Consideration,Carousel,Instagram,75,72838
47,Streamlined exuding Internet solution,323100000.0,81095,2024-06-16,2024-09-19,Conversion,Carousel,Instagram,67,39940
48,Fully-configurable systemic migration,277000000.0,323553,2026-01-03,2026-05-13,Consideration,Carousel,TikTok,115,56696
49,Visionary directional flexibility,268000000.0,548732,2024-04-03,2024-09-17,Awareness,Image,Instagram,67,21517
50,Pre-emptive leadingedge system engine,319000000.0,210582,2025-09-21,2026-01-25,Consideration,Story,Instagram,68,3813
51,Organic maximized orchestration,246700000.0,128765,2025-07-28,2025-09-07,Awareness,Video,TikTok,199,84896
52,Polarized responsive success,280500000.0,313432,2025-08-29,2025-09-28,Consideration,Story,Instagram,107,67250
53,Focused national protocol,184300000.0,142976,2025-09-18,2025-10-07,Awareness,Carousel,Instagram,151,24465
54,Realigned client-server middleware,345500000.0,202360,2025-12-23,2026-02-09,Conversion,Carousel,Instagram,107,4370
55,Multi-tiered multi-tasking approach,321200000.0,582900,2024-09-18,2025-03-04,Consideration,Carousel,TikTok,32,65727
